rate,capacity,profile,radius_mm,persistence,mean_us,p95_us,p99_us,worst_us,active_mean,active_peak,event_start_mean_us,event_start_p95_us,eligible,started,steals,drops,output_sum
48000,16,normal-onsets,0.2,4,9.489,12.3,21.3,94.9,0.049,1,0.0493,0.1,12,12,0,0,-0.0374212
48000,16,stress-onsets,0.2,4,7.7932,8.3,12.3,19.5,0.194,1,0.3012,0.1,49,49,0,0,-0.0359381
48000,16,normal-onsets,7,0.25,12.0507,13.2,16.1,43.7,0.308,1,0.0589,0.1,12,12,0,0,-49.8385
48000,16,stress-onsets,7,0.25,9.3959,12.6,13.1,21,1.245,2,0.0417,0.1,49,49,0,0,-31.9254
48000,16,normal-onsets,7,4,12.6201,17.8,37.3,86.2,4.276,5,0.0488,0.1,12,12,0,0,-12.7912
48000,16,stress-onsets,7,4,19.1269,20.9,33.2,63.9,14.526,16,0.0698,0.1,49,49,33,0,1.37307
48000,32,normal-onsets,0.2,0.25,9.8861,10.3,10.9,79.9,0.003,1,0.0494,0.1,12,12,0,0,-0.588285
48000,32,stress-onsets,0.2,0.25,10.434,10.5,15.2,248.2,0.015,1,0.049,0.1,49,49,0,0,-0.586124
48000,32,normal-onsets,0.2,4,11.0292,11.4,33.2,117.4,0.049,1,0.0502,0.1,12,12,0,0,-0.0374212
48000,32,stress-onsets,0.2,4,10.4482,10.7,19,150.7,0.194,1,0.0503,0.1,49,49,0,0,-0.0359381
48000,32,normal-onsets,7,0.25,9.6602,10.2,10.8,99.5,0.308,1,0.0394,0.1,12,12,0,0,-49.8385
48000,32,stress-onsets,7,0.25,10.6707,11.5,12.1,76.9,1.245,2,0.0419,0.1,49,49,0,0,-31.9254
48000,32,normal-onsets,7,4,14.1506,14.8,23.3,98.7,4.276,5,0.0458,0.1,12,12,0,0,-12.7912
48000,32,stress-onsets,7,4,26.3581,29.1,76.3,274.9,17.242,20,0.0406,0.1,49,49,0,0,2.77757
48000,64,normal-onsets,0.2,0.25,15.9534,17.3,54.5,169.5,0.003,1,0.0526,0.1,12,12,0,0,-0.588285
48000,64,stress-onsets,0.2,0.25,16.1562,17.8,32.3,95.9,0.015,1,0.0567,0.1,49,49,0,0,-0.586124
48000,64,normal-onsets,0.2,4,18.5991,25.9,58.9,163.7,0.049,1,0.0645,0.1,12,12,0,0,-0.0374212
48000,64,stress-onsets,0.2,4,18.3921,19.4,65.1,222.9,0.194,1,0.0553,0.1,49,49,0,0,-0.0359381
48000,64,normal-onsets,7,0.25,16.4608,16.9,31.2,108.9,0.308,1,0.0439,0.1,12,12,0,0,-49.8385
48000,64,stress-onsets,7,0.25,15.9741,19.3,29.1,104.4,1.245,2,0.0395,0.1,49,49,0,0,-31.9254
48000,64,normal-onsets,7,4,22.0361,26.4,60.3,153.3,4.276,5,0.0462,0.1,12,12,0,0,-12.7912
48000,64,stress-onsets,7,4,32.9498,48.4,100,212.2,17.242,20,0.0475,0.1,49,49,0,0,2.77757
48000,128,normal-onsets,0.2,0.25,34.6374,37.1,76.4,243.3,0.003,1,0.0507,0.1,12,12,0,0,-0.588285
48000,128,stress-onsets,0.2,0.25,35.718,42.2,82.2,198.7,0.015,1,0.0504,0.1,49,49,0,0,-0.586124
48000,128,normal-onsets,0.2,4,32.4524,34.5,77.9,224.3,0.049,1,0.0506,0.1,12,12,0,0,-0.0374212
48000,128,stress-onsets,0.2,4,35.2731,39,93.1,264.5,0.194,1,0.0551,0.1,49,49,0,0,-0.0359381
48000,128,normal-onsets,7,0.25,34.3011,35.3,94.3,226.7,0.308,1,0.0417,0.1,12,12,0,0,-49.8385
48000,128,stress-onsets,7,0.25,36.4905,41.3,83.1,191.6,1.245,2,0.045,0.1,49,49,0,0,-31.9254
48000,128,normal-onsets,7,4,36.5596,42.3,97.8,228.2,4.276,5,0.0411,0.1,12,12,0,0,-12.7912
48000,128,stress-onsets,7,4,46.6696,57.5,96.2,196.6,17.242,20,0.0405,0.1,49,49,0,0,2.77757
