rate,profile,source,candidate,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,outside_band_energy_fraction,reference_convergence_relative_rms,reference_qualified,error_budget_pass
44100,reference,A1,lagrange3,0.06051938295212321,0.12752097364545054,0.021287888069125734,True,0.00026506944745870387,1.3154131588992905e-06,True,False
44100,reference,A1,lagrange7,0.20800595901518992,0.5817174254300176,0.18821134401153475,True,0.00026506944745870387,1.3154131588992905e-06,True,False
44100,reference,A1,lagrange15,10.055678067310652,33.276923057821655,9.995385039239192,True,0.00026506944745870387,1.3154131588992905e-06,True,False
44100,reference,A1,farrow7-fir32,0.13581235199181027,0.2045872712410022,0.12698342969936077,True,0.00026506944745870387,1.3154131588992905e-06,True,False
44100,reference,A1,vfd-ls32,0.13581184435575414,0.20458651241859538,0.12698292564141744,True,0.00026506944745870387,1.3154131588992905e-06,True,False
44100,reference,A1,vfd-ls64,5.547295564408394,7.207255402568663,5.546147869879803,True,0.00026506944745870387,1.3154131588992905e-06,True,False
44100,reference,A1,sinc129-noncausal-control,0.0032090710187000792,0.0014038167405935973,0.0025208330463402104,True,0.00026506944745870387,1.3154131588992905e-06,True,True
44100,reference,B1,lagrange3,0.0022463751593598076,0.008904898548203593,0.0021495396896604375,True,2.6922611048034624e-06,1.9011799702968472e-07,True,True
44100,reference,B1,lagrange7,0.0040558121130180634,0.020250564852324765,0.001901216088374998,True,2.6922611048034624e-06,1.9011799702968472e-07,True,False
44100,reference,B1,lagrange15,0.10041690321918983,0.4785075524258768,0.09847827765628428,True,2.6922611048034624e-06,1.9011799702968472e-07,True,False
44100,reference,B1,farrow7-fir32,0.03893494548456794,0.07306848811219963,0.0372192981432508,True,2.6922611048034624e-06,1.9011799702968472e-07,True,False
44100,reference,B1,vfd-ls32,0.038934800114429305,0.0730681209259551,0.03721915790126604,True,2.6922611048034624e-06,1.9011799702968472e-07,True,False
44100,reference,B1,vfd-ls64,0.5855857172942341,1.2149769965579844,0.58501154857496,True,2.6922611048034624e-06,1.9011799702968472e-07,True,False
44100,reference,B1,sinc129-noncausal-control,0.000365383742916503,0.00025556679430206405,0.00033369899407058665,True,2.6922611048034624e-06,1.9011799702968472e-07,True,True
44100,reference,AB,lagrange3,0.06044125621562703,0.12752100114057818,0.021260815112719492,True,0.0002643869224184774,1.3117818550992164e-06,True,False
44100,reference,AB,lagrange7,0.20773716484537508,0.5817174425248735,0.18796794303979175,True,0.0002643869224184774,1.3117818550992164e-06,True,False
44100,reference,AB,lagrange15,10.042680558201189,33.27692233110739,9.98246520692827,True,0.0002643869224184774,1.3117818550992164e-06,True,False
44100,reference,AB,farrow7-fir32,0.13565104791441787,0.20458729667072373,0.1268340691695332,True,0.0002643869224184774,1.3117818550992164e-06,True,False
