rate,conditioner,kernel,profile,block,mean_us,p95_us,p99_us,max_us,state_bytes,observed_allocations,reset_partition_exact,measured_blocks,total_latency_samples,scope
44100,butter6-fc20000,kaiser-g32,overlap-reference,256,52.9272,64,72.1,84,2136232,0,true,500,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,overlap-reference,257,53.3164,65.2,73.1,90.1,2136232,0,true,500,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,overlap-reference,512,107.04,124.6,139.7,183.1,2136232,0,true,500,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,overlap-reference,1024,210.796,238.4,263.3,285.9,2136232,0,true,500,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,32,14.94,44.2,44.2,44.2,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,64,13.78,13.9,13.9,13.9,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,128,29.54,49.6,49.6,49.6,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,256,48.62,49.6,49.6,49.6,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,257,49.06,50.1,50.1,50.1,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,512,101.76,109.4,109.4,109.4,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,butter6-fc20000,kaiser-g32,sustained-edge,1024,203.04,211.4,211.4,211.4,2136232,0,true,5,32,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,32,8.54,8.7,8.7,8.7,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,64,17.02,17.3,17.3,17.3,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,128,33.94,34.7,34.7,34.7,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,256,68.52,73.1,73.1,73.1,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,257,71.98,87.1,87.1,87.1,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,512,145.98,168.4,168.4,168.4,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,reference,1024,287.9,311.6,311.6,311.6,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,32,8.58,8.6,8.6,8.6,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,64,17.24,17.8,17.8,17.8,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,128,34.46,35.3,35.3,35.3,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,256,68.28,69.3,69.3,69.3,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,257,68.5,69.4,69.4,69.4,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,512,140.92,149.6,149.6,149.6,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,edge,1024,287.8,299.8,299.8,299.8,2136512,0,true,5,64,candidate and harness only; not plugin budget
44100,fir65-fc20000,kaiser-g32,overlap-reference,32,15.996,16.9,33.3,40.5,2136512,0,true,500,64,candidate and harness only; not plugin budget
