rate,candidate,upper_hz,magnitude_error_db,phase_error_rad,group_delay_error_ns,complex_error,epsilon,group_delay_budget_ns,static_pass,causal,max_coefficient_l1
44100,lagrange3,19845.0,12.58106212521624,1.456148405869848,49898.727660212564,1.1671120842317209,0.009059029362763286,72.65277061340736,False,True,1.6311220473131633
44100,lagrange7,19845.0,15.264471250356584,1.7366482359572692,78065.3237693862,5.5368134292321844,0.009059029362763286,72.65277061340736,False,True,6.929587570965631
44100,lagrange15,19845.0,52.38633029406795,3.141478366560971,3285230.181526619,415.2394114583475,0.009059029362763286,72.65277061340736,False,True,512.3010057610551
44100,farrow7-fir32,19845.0,2.0126498288931325,0.3640193560392827,401677.5976125671,0.35642493534671965,0.009059029362763286,72.65277061340736,False,True,15.657358546296567
44100,vfd-ls32,19845.0,2.01270047998551,0.3640191468239868,401676.294707037,0.35642469772746804,0.009059029362763286,72.65277061340736,False,True,15.65731934340247
44100,vfd-ls64,19845.0,1.2380417910505017,0.11705432666938394,422725.35267546226,0.16790104260343716,0.009059029362763286,72.65277061340736,False,True,700.6669243452793
44100,sinc129-noncausal-control,19845.0,0.0025621585164630465,0.00014706738934209697,277.00977329777936,0.0002949431619266274,0.009059029362763286,72.65277061340736,False,False,3.3728982670849588
48000,lagrange3,21600.0,12.655948497385301,1.455933731962113,45871.266387524614,1.1671239111408418,0.009860161786776123,72.65277061340736,False,True,1.6311250226697207
48000,lagrange7,21600.0,15.264403758884344,1.7366914907595177,71813.51178392484,5.536351697406455,0.009860161786776123,72.65277061340736,False,True,6.929724061206366
48000,lagrange15,21600.0,52.386077273446645,3.141546804903716,8141596.243947531,415.2276677737382,0.009860161786776123,72.65277061340736,False,True,512.2858722667966
48000,farrow7-fir32,21600.0,2.0126698826184106,0.3640091142588234,369027.8083077115,0.35641978547019715,0.009860161786776123,72.65277061340736,False,True,15.657582750552137
48000,vfd-ls32,21600.0,2.012725433445946,0.36400900772573297,369026.57432260393,0.35641971287364677,0.009860161786776123,72.65277061340736,False,True,15.657528210182344
48000,vfd-ls64,21600.0,1.2379972824043546,0.11706949012490075,388423.36201778805,0.16789819147212434,0.009860161786776123,72.65277061340736,False,True,700.6538034202727
48000,sinc129-noncausal-control,21600.0,0.002562239502112382,0.00014706638096379928,254.50065750549402,0.0002949478473488664,0.009860161786776123,72.65277061340736,False,False,3.3729344312254956
96000,lagrange3,23239.287810845326,0.947969141962529,0.1650765738115859,4324.168538039448,0.17654209452044273,0.010608471823225545,72.65277061340736,False,True,1.6311250226697207
96000,lagrange7,23239.287810845326,1.0241919566014699,0.23046132114416965,12979.39505176333,0.23272751884196377,0.010608471823225545,72.65277061340736,False,True,6.927927236284021
96000,lagrange15,23239.287810845326,6.8803400281792895,1.3094153587358517,175150.11726202694,1.172506438807098,0.010608471823225545,72.65277061340736,False,True,512.2858722667966
96000,farrow7-fir32,23239.287810845326,5.4547408488188255e-06,5.946635307976776e-07,1.6295601548678917,8.321011492645878e-07,0.010608471823225545,72.65277061340736,True,True,35647.604835575745
96000,vfd-ls32,23239.287810845326,1.1409774372089569e-05,5.982503813437423e-07,1.6297481755548122,1.3413006188631432e-06,0.010608471823225545,72.65277061340736,True,True,35647.42907361194
96000,vfd-ls64,23239.287810845326,9.893365085315705e-06,1.555223768619379e-07,0.9911732895392914,1.1441129859983253e-06,0.010608471823225545,72.65277061340736,True,True,34178.647566648135
96000,sinc129-noncausal-control,23239.287810845326,3.174285313829347e-05,1.340827055339033e-06,0.8540298867133321,3.6545416918216796e-06,0.010608471823225545,72.65277061340736,True,False,3.3729344312254956
