rate,kernel,guard_samples,guard_ms,band_hz,magnitude_error_db,phase_error_rad,group_delay_error_ns,complex_error,static_pass
44100,lagrange-g0,0,0.0,16000,4.57142154049756,0.6914152720182529,23085.05735746873,0.6617150517048759,False
44100,lagrange-g0,0,0.0,18000,7.610899576929774,1.0283799550083292,31847.631757645257,0.9173247207139537,False
44100,lagrange-g0,0,0.0,20000,13.186579571272484,1.4998390692843782,52772.854034693584,1.1881084708017997,False
44100,lagrange-g8,8,0.18140589569160998,16000,0.6336421791819002,0.052680164747375836,5512.89908846752,0.07714192679785682,False
44100,lagrange-g8,8,0.18140589569160998,18000,2.2783338728724294,0.17230088673822058,14777.342256031883,0.24379119675518393,False
44100,lagrange-g8,8,0.18140589569160998,20000,6.871168835019066,0.47551337883005546,38903.244167783385,0.5648917551924771,False
44100,hann-g8,8,0.18140589569160998,16000,0.08532370106600635,0.005074579563355266,762.0458542533869,0.009871918184388508,False
44100,hann-g8,8,0.18140589569160998,18000,0.2472991477755854,0.01404374157974557,5519.281847205048,0.028070572375409098,False
44100,hann-g8,8,0.18140589569160998,20000,3.5795075149635753,0.20441553228198167,30091.80212520303,0.3377585498562726,False
44100,kaiser-g8,8,0.18140589569160998,16000,0.051068901514428576,0.0029372338496241137,964.4731471601037,0.005862419179012846,False
44100,kaiser-g8,8,0.18140589569160998,18000,0.8431199058841172,0.04850619270028332,7838.156930646927,0.09250801875566035,False
44100,kaiser-g8,8,0.18140589569160998,20000,4.604637317519263,0.262055562851136,31535.170865356173,0.4114879631682708,False
44100,lagrange-g16,16,0.36281179138321995,16000,0.10273541155167368,0.008229029405218967,1539.8014901883384,0.012696627620881674,False
44100,lagrange-g16,16,0.36281179138321995,18000,0.8672689757492952,0.06272868192658737,8736.249632063333,0.09891415632010961,False
44100,lagrange-g16,16,0.36281179138321995,20000,4.4509592274777505,0.2971798760422805,34052.9955003689,0.4091302439512366,False
44100,hann-g16,16,0.36281179138321995,16000,0.007439993077637205,0.0003994717425904821,216.11676396951665,0.0008562124774705333,False
44100,hann-g16,16,0.36281179138321995,18000,0.03276506096881246,0.0018582802417346442,486.5855535458632,0.0037652019076396606,False
44100,hann-g16,16,0.36281179138321995,20000,0.21510376507097748,0.01235860472134658,10434.18958559262,0.02446122454069479,False
44100,kaiser-g16,16,0.36281179138321995,16000,0.0009481368850413193,5.769861863466594e-05,27.06820092798874,0.00010916607052502533,True
44100,kaiser-g16,16,0.36281179138321995,18000,0.0013055205291635198,8.111151073923849e-05,59.10304892004817,0.00015031830062102607,True
44100,kaiser-g16,16,0.36281179138321995,20000,0.8007139288603986,0.046093090747566685,15071.362692196644,0.08806651370487316,False
44100,lagrange-g32,32,0.7256235827664399,16000,0.0035557186260383074,0.0002796717597210771,99.13501574723018,0.0004387206988526541,False
44100,lagrange-g32,32,0.7256235827664399,18000,0.167701060812772,0.011825159194491959,2905.0070420441666,0.019755277424929066,False
44100,lagrange-g32,32,0.7256235827664399,20000,2.3650015671371034,0.15386236551725863,26359.729600386672,0.2415307384577281,False
44100,hann-g32,32,0.7256235827664399,16000,0.0012591929523311572,6.891516104597075e-05,43.27282530996445,0.00014496267070385012,True
44100,hann-g32,32,0.7256235827664399,18000,0.0040023851805810005,0.00023290785832394086,138.32667612073553,0.00046090944736846136,False
