rate,conditioner,profile,source,next128_tail_peak_ratio,finite_window_pass
44100,fir33-fc20000,reference,AB,0.0,True
44100,fir33-fc20000,edge,A1,0.0,True
44100,fir33-fc20000,edge,B1,0.0,True
44100,fir33-fc20000,edge,AB,0.0,True
44100,fir33-fc20000,overlap-reference,A1,0.0,True
44100,fir33-fc20000,overlap-reference,B1,0.0,True
44100,fir33-fc20000,overlap-reference,AB,0.0,True
44100,fir33-fc20000,sustained-edge,A1,0.0,True
44100,fir33-fc20000,sustained-edge,B1,0.0,True
44100,fir33-fc20000,sustained-edge,AB,0.0,True
44100,fir65-fc18000,reference,A1,0.0,True
44100,fir65-fc18000,reference,B1,0.0,True
44100,fir65-fc18000,reference,AB,0.0,True
44100,fir65-fc18000,edge,A1,0.0,True
44100,fir65-fc18000,edge,B1,0.0,True
44100,fir65-fc18000,edge,AB,0.0,True
44100,fir65-fc18000,overlap-reference,A1,0.0,True
44100,fir65-fc18000,overlap-reference,B1,0.0,True
44100,fir65-fc18000,overlap-reference,AB,0.0,True
44100,fir65-fc18000,sustained-edge,A1,0.0,True
44100,fir65-fc18000,sustained-edge,B1,0.0,True
44100,fir65-fc18000,sustained-edge,AB,0.0,True
44100,fir65-fc20000,reference,A1,0.0,True
44100,fir65-fc20000,reference,B1,0.0,True
44100,fir65-fc20000,reference,AB,0.0,True
44100,fir65-fc20000,edge,A1,0.0,True
44100,fir65-fc20000,edge,B1,0.0,True
44100,fir65-fc20000,edge,AB,0.0,True
44100,fir65-fc20000,overlap-reference,A1,0.0,True
44100,fir65-fc20000,overlap-reference,B1,0.0,True
44100,fir65-fc20000,overlap-reference,AB,0.0,True
44100,fir65-fc20000,sustained-edge,A1,0.0,True
44100,fir65-fc20000,sustained-edge,B1,0.0,True
44100,fir65-fc20000,sustained-edge,AB,0.0,True
48000,raw-control,reference,A1,0.0,True
48000,raw-control,reference,B1,0.0,True
48000,raw-control,reference,AB,0.0,True
48000,raw-control,edge,A1,0.0,True
48000,raw-control,edge,B1,0.0,True
48000,raw-control,edge,AB,0.0,True
48000,raw-control,overlap-reference,A1,0.0,True
48000,raw-control,overlap-reference,B1,0.0,True
48000,raw-control,overlap-reference,AB,0.0,True
48000,raw-control,sustained-edge,A1,0.0,True
48000,raw-control,sustained-edge,B1,0.0,True
48000,raw-control,sustained-edge,AB,0.0,True
48000,butter4-fc18000,reference,A1,7.66e-322,True
48000,butter4-fc18000,reference,B1,7.095e-321,True
48000,butter4-fc18000,reference,AB,7.66e-322,True
48000,butter4-fc18000,edge,A1,2.1e-322,True
48000,butter4-fc18000,edge,B1,3.69443e-319,True
48000,butter4-fc18000,edge,AB,2.1e-322,True
48000,butter4-fc18000,overlap-reference,A1,5e-324,True
48000,butter4-fc18000,overlap-reference,B1,3.15e-321,True
48000,butter4-fc18000,overlap-reference,AB,5e-324,True
48000,butter4-fc18000,sustained-edge,A1,2e-323,True
48000,butter4-fc18000,sustained-edge,B1,1.642e-319,True
48000,butter4-fc18000,sustained-edge,AB,2e-323,True
48000,butter4-fc20000,reference,A1,1.4e-321,True
48000,butter4-fc20000,reference,B1,7.12e-321,True
48000,butter4-fc20000,reference,AB,1.4e-321,True
48000,butter4-fc20000,edge,A1,3.8e-322,True
48000,butter4-fc20000,edge,B1,5.97434e-319,True
48000,butter4-fc20000,edge,AB,3.8e-322,True
48000,butter4-fc20000,overlap-reference,A1,1.5e-323,True
48000,butter4-fc20000,overlap-reference,B1,6.33e-321,True
48000,butter4-fc20000,overlap-reference,AB,1.5e-323,True
48000,butter4-fc20000,sustained-edge,A1,3.5e-323,True
48000,butter4-fc20000,sustained-edge,B1,2.65526e-319,True
48000,butter4-fc20000,sustained-edge,AB,3.5e-323,True
48000,butter6-fc18000,reference,A1,6.77e-322,True
48000,butter6-fc18000,reference,B1,7.124e-321,True
48000,butter6-fc18000,reference,AB,6.77e-322,True
48000,butter6-fc18000,edge,A1,2.27e-322,True
48000,butter6-fc18000,edge,B1,3.896e-319,True
48000,butter6-fc18000,edge,AB,2.27e-322,True
48000,butter6-fc18000,overlap-reference,A1,5e-324,True
48000,butter6-fc18000,overlap-reference,B1,3.167e-321,True
48000,butter6-fc18000,overlap-reference,AB,5e-324,True
48000,butter6-fc18000,sustained-edge,A1,1.5e-323,True
48000,butter6-fc18000,sustained-edge,B1,1.73155e-319,True
48000,butter6-fc18000,sustained-edge,AB,1.5e-323,True
48000,butter6-fc20000,reference,A1,1.487e-321,True
48000,butter6-fc20000,reference,B1,2.1235e-320,True
48000,butter6-fc20000,reference,AB,1.487e-321,True
48000,butter6-fc20000,edge,A1,6.27e-322,True
48000,butter6-fc20000,edge,B1,8.99165e-319,True
48000,butter6-fc20000,edge,AB,6.27e-322,True
48000,butter6-fc20000,overlap-reference,A1,1.5e-323,True
48000,butter6-fc20000,overlap-reference,B1,6.29e-321,True
48000,butter6-fc20000,overlap-reference,AB,1.5e-323,True
48000,butter6-fc20000,sustained-edge,A1,5.4e-323,True
48000,butter6-fc20000,sustained-edge,B1,2.6642e-319,True
48000,butter6-fc20000,sustained-edge,AB,5.4e-323,True
48000,bessel4-fc18000,reference,A1,7.3e-322,True
48000,bessel4-fc18000,reference,B1,1.425e-320,True
48000,bessel4-fc18000,reference,AB,7.3e-322,True
48000,bessel4-fc18000,edge,A1,2.17e-322,True
48000,bessel4-fc18000,edge,B1,7.5832e-319,True
48000,bessel4-fc18000,edge,AB,2.17e-322,True
48000,bessel4-fc18000,overlap-reference,A1,1.5e-323,True
