rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio,first_nonzero_shift_samples,engineering_latency_removed
44100,iir-p16000-s18000,reference,A1,1.2176174094986287,1.683497354805686,0.030203578454221378,True,1.03600375798415,0,0
44100,iir-p16000-s18000,reference,B1,0.6480682872707718,0.6351009179820931,0.0026866362323651684,True,1.0065052022130527,0,0
44100,iir-p16000-s18000,reference,AB,1.2164894944644535,1.683497354805686,0.030164829488091197,True,1.03600375798415,0,0
44100,iir-p16000-s18000,edge,A1,1.1346112096667318,1.1019126707354228,0.4731962441439334,True,0.9359515338326765,0,0
44100,iir-p16000-s18000,edge,B1,1.082254599725271,1.0387465598908785,0.8775299291045559,True,0.22477320388612912,0,0
44100,iir-p16000-s18000,edge,AB,1.1346112028296296,1.1019126707354228,0.47319631829591774,True,0.9359515338326765,0,0
44100,iir-p16000-s18000,overlap-reference,A1,0.4064603741033435,0.40881273581872724,0.00424770758948145,True,1.0006157844619992,0,0
44100,iir-p16000-s18000,overlap-reference,B1,0.6480682872554057,0.6351009177018283,0.0026866342504814956,True,1.0065051732116679,0,0
44100,iir-p16000-s18000,overlap-reference,AB,0.40646233106731333,0.40881273581872724,0.004247669476677498,True,1.0006157844619992,0,0
44100,iir-p16000-s18000,sustained-edge,A1,1.7000586831574747,1.8512260299119603,0.23212821849473114,True,1.072950984308792,0,0
44100,iir-p16000-s18000,sustained-edge,B1,1.0822546028745483,1.0387465581946047,0.8775299281990966,True,0.22477321169834413,0,0
44100,iir-p16000-s18000,sustained-edge,AB,1.7000599119482314,1.8512260299119603,0.2321272292012947,True,1.072950984308792,0,0
44100,fir17-p16000-s18000,reference,A1,0.027911327411610898,0.08494980112728552,0.027912565976484324,True,1.0241886904400663,0,8
44100,fir17-p16000-s18000,reference,B1,0.0023058030424123444,0.01145074284381115,0.002305925851767785,True,1.0003168453434081,0,8
44100,fir17-p16000-s18000,reference,AB,0.02787549288679648,0.08494980112728552,0.02787671526034538,True,1.0241886904400663,0,8
44100,fir17-p16000-s18000,edge,A1,0.3551475713647999,0.41259256891129653,0.35515176604213883,True,0.9346708777897096,0,8
44100,fir17-p16000-s18000,edge,B1,0.6358114049444674,0.49748152857546524,0.635814595963914,True,0.5025184714245348,0,8
