rate,conditioner,order,pass_hz,stop_hz,latency_samples,latency_ms,pass_error_db,stop_max_db,response16_db,response18_db,response20_db,group_min_ms,group_max_ms,before_main_energy_fraction,after_main_energy_fraction,before_input_energy,ringing_span_ms,max_pole_radius,filter_screen_pass
44100,iir-p16000-s18000,21,16000,18000,0,0.0,0.10000000000002814,-63.52720853416887,-0.10000000000002814,-63.52720853416887,-191.58025551974674,0.06378922998613239,0.6484064300155321,0.29775711617628,0.4009187856146258,0.0,3.7188208616780045,0.9479523044657017,True
44100,fir17-p16000-s18000,16,16000,18000,8,0.18140589569160998,3.3344774555991514,-9.930297432848153,-3.3344774555991514,-9.930297432848153,-23.0708830237314,0.18140589569095003,0.18140589569239368,0.0869742067820495,0.0869742067820495,0.0,0.36281179138321995,0.0,False
44100,fir33-p16000-s18000,32,16000,18000,16,0.36281179138321995,1.613203902407018,-15.412887127028739,-1.613203902407018,-15.412887127028739,-59.195171483773464,0.3628117913814567,0.3628117913838799,0.10121817776076329,0.10121817776076329,0.0,0.7256235827664399,0.0,False
44100,fir65-p16000-s18000,64,16000,18000,32,0.7256235827664399,0.16228323118719257,-34.73026117440272,-0.16228323118719257,-34.73026117440272,-66.45541201754835,0.7256235827638001,0.7256235827695747,0.10797799324312074,0.10797799324312074,0.0,1.4512471655328798,0.0,False
44100,fir129-p16000-s18000,128,16000,18000,64,1.4512471655328798,0.004630386803921009,-66.5063688415571,-0.003595996870554635,-66.5063688415571,-80.6580436845207,1.4512471655258885,1.4512471655391495,0.11127269542318247,0.11127269542318247,0.0,2.9024943310657596,0.0,True
44100,iir-p16000-s19000,12,16000,19000,0,0.0,0.10000000000002034,-60.15197178238331,-0.10000000000002034,-29.30875021963445,-102.47682579479351,0.034149828400639126,0.30686020867452535,0.1190707119767307,0.43721940610972937,0.0,2.1768707482993195,0.9147288650836634,True
44100,fir17-p16000-s19000,16,16000,19000,8,0.18140589569160998,2.3696454466990833,-12.420638792498007,-2.3696454466990833,-7.798510579560178,-18.941301264498804,0.18140589569095003,0.18140589569239368,0.07569294866273066,0.07569294866273066,0.0,0.36281179138321995,0.0,False
44100,fir33-p16000-s19000,32,16000,19000,16,0.36281179138321995,0.6289307783425642,-23.15061391068824,-0.6289307783425642,-9.920998185055291,-59.794642728105806,0.36281179138190006,0.3628117913838799,0.08989340999335212,0.08989340999335212,0.0,0.7256235827664399,0.0,False
44100,fir65-p16000-s19000,64,16000,19000,32,0.7256235827664399,0.00821827227997428,-60.25754529317379,0.00821827227997428,-15.409653905771323,-67.49839446500054,0.7256235827638001,0.7256235827695747,0.09664329729811681,0.09664329729811681,0.0,1.4512471655328798,0.0,True
44100,fir129-p16000-s19000,128,16000,19000,64,1.4512471655328798,0.004905917246019961,-66.00692154417645,-0.004890420410047373,-34.74774619124244,-69.84047054963396,1.4512471655258885,1.4512471655391495,0.09993559882812232,0.09993559882812234,0.0,2.8117913832199544,0.0,True
44100,iir-p16000-s20000,8,16000,20000,0,0.0,0.1000000000000096,-62.87530371226855,-0.1000000000000096,-14.259199236137132,-62.87530371226855,0.021126829573038457,0.17396916655034023,0.03272306184336511,0.550788859614816,0.0,1.5419501133786848,0.8816617614782654,True
44100,fir17-p16000-s20000,16,16000,20000,8,0.18140589569160998,1.6161458842404266,-15.458758062144328,-1.6161458842404266,-6.012582416381441,-15.458758062144328,0.18140589569095003,0.18140589569193996,0.0644165470576585,0.0644165470576585,0.0,0.36281179138321995,0.0,False
44100,fir33-p16000-s20000,32,16000,20000,16,0.36281179138321995,0.1636981129176988,-34.519714254747754,-0.1636981129176988,-6.019232424266661,-34.519714254747754,0.3628117913814721,0.36281179138478736,0.0785678580744644,0.0785678580744644,0.0,0.6802721088435374,0.0,False
