rate,kernel,band_magnitude_error_db,band_phase_error_rad,band_group_delay_error_samples,stress_magnitude_error_db,target_pass
44100,linear,1.8408010741882188,0.034589999701512664,0.08762507655160184,16.109876123263113,False
44100,lagrange3,0.45630132450579847,0.07735608750443096,0.2538463697434854,12.58106212521624,True
48000,linear,1.840830452777521,0.03458926953238617,0.08762678376262134,16.11209355533398,False
48000,lagrange3,0.4567314975019173,0.07735674630050288,0.2538434356711727,12.655948497385301,True
96000,linear,1.840830452777521,0.03458926953238617,0.08762678376262134,16.11209355533398,False
96000,lagrange3,0.4567314975019152,0.07735674630050288,0.25377814607176624,12.655948497385301,True
