rate,candidate,fixture,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence_relative_rms,reference_qualified,python_wall_seconds
44100,lagrange3,impulse,0.46050312569534796,0.30764075459178214,0.10427874610531172,True,2.7824898564862867e-05,True,0.005030700005590916
44100,lagrange3,broadband,0.31132340675601744,0.5893862294578426,0.19070027913858476,True,3.920942807885284e-06,True,0.005252100003417581
44100,lagrange3,transient,0.0435633012826759,0.10382105564196425,0.0315235774888006,True,5.3633353965491284e-08,True,0.005106099997647107
44100,lagrange3,multitone,0.17878835174528654,0.2969275082009277,0.1312693949567814,True,0.0,True,0.00525970000308007
44100,lagrange3,sine4000,0.002066230244227693,0.0042523201662027325,0.0013393182176107432,True,0.0,True,0.004949099995428696
44100,lagrange3,sine8000,0.030140040825168926,0.06170532864256431,0.014846915985929411,True,0.0,True,0.004350100003648549
44100,lagrange3,sine12000,0.1306530593043945,0.2647872834004838,0.06241637340892865,True,0.0,True,0.005659899994498119
44100,lagrange3,sine16000,0.3314817931847557,0.6616396659717397,0.25435948335755415,True,0.0,True,0.00453080001170747
44100,lagrange7,impulse,1.6434116915439219,1.143374959706265,1.5254313826913837,True,2.7824898564862867e-05,True,0.013195400009863079
44100,lagrange7,broadband,1.2001671667197085,2.5858798016194418,0.9601774323494515,True,3.920942807885284e-06,True,0.013169499987270683
44100,lagrange7,transient,0.03850604822668891,0.34578557199105386,0.03559789899065796,True,5.3633353965491284e-08,True,0.014037600019946694
44100,lagrange7,multitone,0.5164758327662811,0.9104463427741267,0.44457408770979884,True,0.0,True,0.012297500012209639
44100,lagrange7,sine4000,6.415549978223647e-05,0.00016112938289237577,3.388765558088615e-05,True,0.0,True,0.013177699991501868
44100,lagrange7,sine8000,0.012482074886446965,0.031162415543698356,0.011170553647361145,True,0.0,True,0.012453400006052107
44100,lagrange7,sine12000,0.20036895494732748,0.4947669798189827,0.13120725009192624,True,0.0,True,0.012877300003310665
44100,lagrange7,sine16000,1.0134234126867396,2.4581325294828256,0.8796709461268496,True,0.0,True,0.012427999987266958
44100,lagrange15,impulse,84.51168175249133,53.843808500668715,84.16040771833477,True,2.7824898564862867e-05,True,0.0552767000044696
44100,lagrange15,broadband,75.3809398494535,213.034835813787,75.02658913891892,True,3.920942807885284e-06,True,0.06220919999759644
44100,lagrange15,transient,1.6866265392281492,14.632702342973348,1.6765377782433661,True,5.3633353965491284e-08,True,0.051442099997075275
44100,lagrange15,multitone,18.245710590897932,33.75399657007223,17.62196657468038,True,0.0,True,0.05914910000865348
44100,lagrange15,sine4000,2.2220769190313466e-07,6.484422322327072e-07,1.5246215327114774e-07,True,0.0,True,0.05050059998757206
44100,lagrange15,sine8000,0.007786018897010232,0.0226447376605262,0.002440189428218835,True,0.0,True,0.043625299993436784
44100,lagrange15,sine12000,1.7515926450093744,5.0560385670536006,1.5378211861003852,True,0.0,True,0.04764730000169948
44100,lagrange15,sine16000,36.452891878711796,104.3682552887451,35.214653092300935,True,0.0,True,0.043442900001537055
44100,farrow7-fir32,impulse,2.1231700389210197,0.6877779008830524,2.0635743732993554,True,2.7824898564862867e-05,True,0.011240699997870252
44100,farrow7-fir32,broadband,1.7162685005557414,2.6355372488915627,1.5857534236366653,True,3.920942807885284e-06,True,0.011612400005105883
44100,farrow7-fir32,transient,0.05476845542271226,0.19210192448496763,0.04291210350696568,True,5.3633353965491284e-08,True,0.01112079998711124
44100,farrow7-fir32,multitone,0.03945578499562329,0.0675426914623309,0.02921989148018635,True,0.0,True,0.011473699996713549
44100,farrow7-fir32,sine4000,0.030958814142791845,0.05022866594883719,0.021753337228183123,True,0.0,True,0.011283100000582635
44100,farrow7-fir32,sine8000,0.03346440067565863,0.05432342901455581,0.010571604415469905,True,0.0,True,0.012179599987575784
44100,farrow7-fir32,sine12000,0.039023388139812244,0.06345081150347957,0.02954288660272023,True,0.0,True,0.012135299999499694
44100,farrow7-fir32,sine16000,0.05123490913301814,0.0834998201713167,0.04422092274859843,True,0.0,True,0.011972500011324883
44100,vfd-ls32,impulse,2.1231667261209397,0.6877769541598894,2.0635709902321007,True,2.7824898564862867e-05,True,0.007858700002543628
44100,vfd-ls32,broadband,1.7162613901587045,2.6355278374765088,1.5857465294184894,True,3.920942807885284e-06,True,0.007346800004597753
44100,vfd-ls32,transient,0.05476850915299343,0.1921016205961974,0.04291215369697119,True,5.3633353965491284e-08,True,0.00732360000256449
44100,vfd-ls32,multitone,0.03945610915994459,0.0675427138231549,0.029220435085355812,True,0.0,True,0.007875499984947965
44100,vfd-ls32,sine4000,0.030958606477949728,0.05022841016045925,0.0217531470951779,True,0.0,True,0.007258500001626089
44100,vfd-ls32,sine8000,0.033464272321912014,0.05432341178444867,0.010571615226848803,True,0.0,True,0.006840699992608279
44100,vfd-ls32,sine12000,0.039023837131995254,0.0634509392357379,0.029543595610132926,True,0.0,True,0.0073887000035028905
44100,vfd-ls32,sine16000,0.05123578219524309,0.08350164933488181,0.044221984610724116,True,0.0,True,0.006893299985677004
44100,vfd-ls64,impulse,80.2267213446541,22.736034406991692,80.13737598246576,True,2.7824898564862867e-05,True,0.01266929999110289
44100,vfd-ls64,broadband,72.71683377778898,104.32665777116738,72.64645203272228,True,3.920942807885284e-06,True,0.01407959999050945
44100,vfd-ls64,transient,1.5720097114455176,5.632638543232932,1.5685910772367044,True,5.3633353965491284e-08,True,0.013396499998634681
44100,vfd-ls64,multitone,0.01599137788264756,0.02797771266612981,0.008910308591058921,True,0.0,True,0.012118499987991527
44100,vfd-ls64,sine4000,0.013340748074988279,0.021546658176942603,0.007839438917205286,True,0.0,True,0.0122929000062868
44100,vfd-ls64,sine8000,0.013742169249857512,0.022193112270806604,0.006717542086330267,True,0.0,True,0.012662099994486198
44100,vfd-ls64,sine12000,0.015220716999474812,0.02461597601112842,0.013380803544138503,True,0.0,True,0.012100499996449798
44100,vfd-ls64,sine16000,0.02060134629501032,0.03339472664654939,0.005656404885442951,True,0.0,True,0.012454100011382252
44100,sinc129-noncausal-control,impulse,0.06585447299791355,0.0061853709331944375,0.048581241549481034,True,2.7824898564862867e-05,True,0.10173920000670478
44100,sinc129-noncausal-control,broadband,0.046749356576252184,0.06789242966662203,0.03610129281453097,True,3.920942807885284e-06,True,0.0814560999860987
44100,sinc129-noncausal-control,transient,0.00135680070985552,0.0016315719049309221,0.000895375424127418,True,5.3633353965491284e-08,True,0.06635670000105165
44100,sinc129-noncausal-control,multitone,1.4639430156552564e-06,1.6857817087509535e-06,1.2130587871275744e-06,True,0.0,True,0.07203449998633005
44100,sinc129-noncausal-control,sine4000,2.1804198236580248e-07,4.2960954802828253e-07,2.0382895814309197e-07,True,0.0,True,0.07239770001615398
44100,sinc129-noncausal-control,sine8000,1.0148498747196069e-06,1.9758758692423713e-06,9.407575429689451e-07,True,0.0,True,0.07535640001879074
44100,sinc129-noncausal-control,sine12000,2.4437038211247122e-06,4.392965437990149e-06,1.992236159648308e-06,True,0.0,True,0.07615899998927489
44100,sinc129-noncausal-control,sine16000,1.2349105415503317e-06,1.770106965109748e-06,9.97306832576852e-07,True,0.0,True,0.07921679998980835
48000,lagrange3,impulse,0.3948939941522012,0.24405601316783324,0.10940271532066762,True,3.404323791289585e-05,True,0.006723400001646951
48000,lagrange3,broadband,0.32028874963684084,0.5884239341915315,0.2100300440574162,True,2.569981371458344e-05,True,0.004783200012752786
48000,lagrange3,transient,0.02655356319029122,0.07899623303826966,0.020712597608183805,True,5.7431358094888775e-08,True,0.009216299979016185
48000,lagrange3,multitone,0.13915094941010597,0.2244039823124619,0.07372193634227282,True,0.0,True,0.016284800018183887
48000,lagrange3,sine4000,0.001489812022173985,0.003015342023066437,0.0009944608439149756,True,0.0,True,0.01673639999353327
48000,lagrange3,sine8000,0.022080178929098956,0.04361579675611666,0.010287676291764346,True,0.0,True,0.015898499987088144
