rate,conditioner,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,peak_ratio
44100,raw-control,reference,A1,0.0,0.0,0.0,True,1.0
44100,raw-control,reference,B1,0.0,0.0,0.0,True,1.0
44100,raw-control,reference,AB,0.0,0.0,0.0,True,1.0
44100,raw-control,edge,A1,0.0,0.0,0.0,True,1.0
44100,raw-control,edge,B1,0.0,0.0,0.0,True,1.0
44100,raw-control,edge,AB,0.0,0.0,0.0,True,1.0
44100,raw-control,overlap-reference,A1,0.0,0.0,0.0,True,1.0
44100,raw-control,overlap-reference,B1,0.0,0.0,0.0,True,1.0
44100,raw-control,overlap-reference,AB,0.0,0.0,0.0,True,1.0
44100,raw-control,sustained-edge,A1,0.0,0.0,0.0,True,1.0
44100,raw-control,sustained-edge,B1,0.0,0.0,0.0,True,1.0
44100,raw-control,sustained-edge,AB,0.0,0.0,0.0,True,1.0
44100,butter4-fc18000,reference,A1,0.24758009502396067,0.3689914798916083,0.01973719625847336,True,1.0630682547107593
44100,butter4-fc18000,reference,B1,0.0913578262368557,0.12209465768563625,0.0019478652708579416,True,1.0054103696217824
44100,butter4-fc18000,reference,AB,0.2473036515917197,0.3689914798916083,0.019711912015019487,True,1.0630682547107593
44100,butter4-fc18000,edge,A1,1.1530995880501855,1.3212940364913188,0.22791249315383247,True,0.8712207384914916
44100,butter4-fc18000,edge,B1,1.571576713463972,1.3081692060645063,0.4031777091345982,True,0.6245638788314392
44100,butter4-fc18000,edge,AB,1.15309965413901,1.3212940364913188,0.2279125180830895,True,0.8712207384914916
44100,butter4-fc18000,overlap-reference,A1,0.060452186190059244,0.07707931022618568,0.0026930850419684075,True,0.9973727559798067
44100,butter4-fc18000,overlap-reference,B1,0.09135782615706033,0.12209465286702406,0.0019478656079046747,True,1.005410312425633
44100,butter4-fc18000,overlap-reference,AB,0.06045266965349557,0.07707931022618568,0.002693063045207007,True,0.9973727559798067
44100,butter4-fc18000,sustained-edge,A1,0.8661771680763851,0.4768960432487186,0.12294381539574704,True,1.0447398464343292
44100,butter4-fc18000,sustained-edge,B1,1.5715767167071186,1.3081692195013555,0.40317770406497805,True,0.6245638627540184
44100,butter4-fc18000,sustained-edge,AB,0.8661776608673908,0.4768960432487186,0.12294357923493711,True,1.0447398464343292
44100,butter4-fc20000,reference,A1,0.12826481369094034,0.2574593823755628,0.013392574524981318,True,1.0099659028569588
44100,butter4-fc20000,reference,B1,0.04538858923364996,0.06954221545709292,0.0013539876902303885,True,1.0084130357607448
44100,butter4-fc20000,reference,AB,0.12811978040201277,0.2574593823755628,0.013375413142960367,True,1.0099659028569588
44100,butter4-fc20000,edge,A1,0.7513874922545,0.8820836683708413,0.10182008609964545,True,0.8988345528541186
44100,butter4-fc20000,edge,B1,1.1914893066957455,0.9620297045727993,0.15993932026469307,True,0.8138811368030846
44100,butter4-fc20000,edge,AB,0.7513875683121067,0.8820836683708413,0.10182007857660756,True,0.8988345528541186
44100,butter4-fc20000,overlap-reference,A1,0.03037252998196391,0.04582948208593858,0.0017979854411696104,True,1.001470435320828
44100,butter4-fc20000,overlap-reference,B1,0.04538858913311764,0.06954221268291136,0.001353988261523924,True,1.008412991139338
44100,butter4-fc20000,overlap-reference,AB,0.030372744577045523,0.04582948208593858,0.0017980358217775272,True,1.001470435320828
44100,butter4-fc20000,sustained-edge,A1,0.4972397750622432,0.3183713937348294,0.07339912892626364,True,1.114374584550487
44100,butter4-fc20000,sustained-edge,B1,1.1914893052612878,0.9620296829899235,0.15993931275108267,True,0.8138811345194656
44100,butter4-fc20000,sustained-edge,AB,0.4972395716913519,0.3183713937348294,0.07339937178520917,True,1.114374584550487
44100,butter6-fc18000,reference,A1,0.34967764549898356,0.4920695339670067,0.02073457716861987,True,1.1024710748194877
44100,butter6-fc18000,reference,B1,0.13490788257458683,0.1595905724513286,0.0020432653616730217,True,0.9984872658226921
44100,butter6-fc18000,reference,AB,0.3492929376526907,0.4920695339670067,0.020708016102272117,True,1.1024710748194877
44100,butter6-fc18000,edge,A1,1.3457916282667477,1.3330398920839501,0.24284042719984594,True,1.000254553928937
44100,butter6-fc18000,edge,B1,1.480898958426844,1.297362106835377,0.4414504288343452,True,0.5929089584474143
