rate,conditioner,kernel,profile,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,implementation_nrms,implementation_peak_error,native_numerical_pass
48000,iir-p18000-s23520,kaiser-g16,reference,0.00028814818167383305,0.0002356848310521662,0.0002491418226247679,True,1.3721543482092154e-08,1.0972198903701954e-08,1.0196496286731122e-08,True
48000,iir-p18000-s23520,kaiser-g16,edge,0.0005993364858936285,0.00048070179398751695,0.0005134194436591427,True,2.750918812504709e-08,2.1094427822241243e-08,2.5208805940878753e-08,True
48000,iir-p18000-s23520,kaiser-g16,overlap-reference,5.241419717352105e-05,5.6321104200170646e-05,5.189365761027076e-05,True,4.750824242091051e-10,2.6925346627598886e-10,8.081370962374254e-10,True
48000,iir-p18000-s23520,kaiser-g16,sustained-edge,0.0003546533418735251,0.00015359135117010023,0.0003195398497198521,True,9.331630261838276e-09,1.0873781071466408e-08,5.6642195028051985e-09,True
48000,fir65-p18000-s23520,kaiser-g16,reference,0.00015544623793559278,0.00010610509811780671,0.00013579137660752307,True,1.1336675595739578e-08,1.112104884599432e-08,1.219134392029244e-08,True
48000,fir65-p18000-s23520,kaiser-g16,edge,0.00032230099474141866,0.00023978219662461892,0.00027885717355039544,True,3.124234384606136e-08,2.059631374505585e-08,3.188042653148168e-08,True
48000,fir65-p18000-s23520,kaiser-g16,overlap-reference,5.192808582913912e-05,5.0793841452454426e-05,5.14930360207363e-05,True,5.077087859467133e-10,2.7027277249781493e-10,8.294364364875313e-10,True
48000,fir65-p18000-s23520,kaiser-g16,sustained-edge,0.00019015544565344173,8.905476853888378e-05,0.00017294490464174673,True,1.040284698383158e-08,1.103579804697521e-08,7.136349522224514e-09,True
48000,fir129-p18000-s23520,kaiser-g16,reference,7.549873799348585e-05,4.72687096945535e-05,6.640032296519167e-05,True,1.1584602395104027e-08,1.1151614280371807e-08,1.2265271860097525e-08,True
48000,fir129-p18000-s23520,kaiser-g16,edge,0.00015243390002707036,0.00011743066375704391,0.00013228798223943364,True,3.1686620336812556e-08,2.0612681499076218e-08,3.20203945174418e-08,True
48000,fir129-p18000-s23520,kaiser-g16,overlap-reference,5.179381802661909e-05,5.182455114228957e-05,5.138085750474181e-05,True,5.112566440229531e-10,2.706534075867009e-10,8.296758397947607e-10,True
48000,fir129-p18000-s23520,kaiser-g16,sustained-edge,0.00010035230742745783,5.616555844184862e-05,9.134744352374123e-05,True,1.0204380236230908e-08,1.1063695766748823e-08,7.149864588300461e-09,True
96000,raw-control,hann-g32,reference,0.0027748983142415144,0.0015998488842173164,0.001683386532101803,True,1.2563810331243729e-06,2.358577945014152e-09,5.103636714100683e-09,True
96000,raw-control,hann-g32,edge,0.006826209588880078,0.002058742535105139,0.004143312853689047,True,2.9723928031687844e-06,5.462643444964199e-09,7.657406211958602e-09,True
96000,raw-control,hann-g32,overlap-reference,0.0012429581212147374,0.0007482405469763403,0.0009468087701148447,True,2.2970678521835418e-07,9.956715001466606e-10,2.613213987897892e-09,True
96000,raw-control,hann-g32,sustained-edge,0.005738375918555981,0.002941329572748813,0.004398381428695643,True,8.665592016073368e-07,4.9687871054599285e-09,8.481019700269553e-09,True
