rate,conditioner,kernel,profile,source,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,reference_convergence,joint_pass,whole_chain_raw_nrms,whole_chain_raw_peak,raw_reference_convergence
44100,raw-control,kaiser-g16,reference,A1,0.007091862248541241,0.006236022192080677,0.005472763656231993,True,1.3154131588992905e-06,True,0.007091862248541241,0.006236022192080677,1.3154131588992905e-06
44100,raw-control,kaiser-g16,reference,B1,0.0008122033249744019,0.00118080608183935,0.0007379390011478707,True,1.9011799702968472e-07,True,0.0008122033249744019,0.00118080608183935,1.9011799702968472e-07
44100,raw-control,kaiser-g16,reference,AB,0.007082750907217666,0.006236052818530136,0.005465963014276439,True,1.3117818550992164e-06,True,0.007082750907217666,0.006236052818530136,1.3117818550992164e-06
44100,raw-control,kaiser-g16,edge,A1,0.051544755118720954,0.028859697908842612,0.03727252259185772,True,9.43373590737657e-06,False,0.051544755118720954,0.028859697908842612,9.43373590737657e-06
44100,raw-control,kaiser-g16,edge,B1,0.09140128779473165,0.035559986658844606,0.08321807064371112,True,2.067375221104483e-05,False,0.09140128779473165,0.035559986658844606,2.067375221104483e-05
44100,raw-control,kaiser-g16,edge,AB,0.05154470742366123,0.028859711940647702,0.0372726748553099,True,9.432558146874356e-06,False,0.05154470742366123,0.028859711940647702,9.432558146874356e-06
44100,raw-control,kaiser-g16,overlap-reference,A1,0.0008682811318603805,0.0009470532967183335,0.0006879102058024191,True,2.779791658770868e-07,True,0.0008682811318603805,0.0009470532967183335,2.779791658770868e-07
44100,raw-control,kaiser-g16,overlap-reference,B1,0.0008122040290682892,0.0011808059544783068,0.0007379396398415226,True,1.901185998491341e-07,True,0.0008122040290682892,0.0011808059544783068,1.901185998491341e-07
44100,raw-control,kaiser-g16,overlap-reference,AB,0.0008681395370849084,0.0009470516998644634,0.0006878057779482942,True,2.778584832692206e-07,True,0.0008681395370849084,0.0009470516998644634,2.778584832692206e-07
44100,raw-control,kaiser-g16,sustained-edge,A1,0.03388647402994882,0.010292846738652857,0.02641848440827414,True,9.794512461887453e-06,False,0.03388647402994882,0.010292846738652857,9.794512461887453e-06
44100,raw-control,kaiser-g16,sustained-edge,B1,0.09140128185319611,0.03555998522958804,0.08321806529654635,True,2.067375070599866e-05,False,0.09140128185319611,0.03555998522958804,2.067375070599866e-05
44100,raw-control,kaiser-g16,sustained-edge,AB,0.033885691227553125,0.010292851871090941,0.02641802284779376,True,9.793826788208503e-06,False,0.033885691227553125,0.010292851871090941,9.793826788208503e-06
44100,raw-control,hann-g32,reference,A1,0.004608504507864552,0.002761861216050906,0.0035854761100440253,True,1.3154131588992905e-06,True,0.004608504507864552,0.002761861216050906,1.3154131588992905e-06
44100,raw-control,hann-g32,reference,B1,0.0005254438279045885,0.0005121761825563914,0.00047790877433087365,True,1.9011799702968472e-07,True,0.0005254438279045885,0.0005121761825563914,1.9011799702968472e-07
44100,raw-control,hann-g32,reference,AB,0.004602538485158618,0.0027618924121857076,0.0035810052156530527,True,1.3117818550992164e-06,True,0.004602538485158618,0.0027618924121857076,1.3117818550992164e-06
44100,raw-control,hann-g32,edge,A1,0.03455628367275837,0.013143123828363721,0.02515033641168194,True,9.43373590737657e-06,False,0.03455628367275837,0.013143123828363721,9.43373590737657e-06
44100,raw-control,hann-g32,edge,B1,0.058385330959220286,0.016161193897350157,0.053187580035161025,True,2.067375221104483e-05,False,0.058385330959220286,0.016161193897350157,2.067375221104483e-05
44100,raw-control,hann-g32,edge,AB,0.03455621633085333,0.013143137837902922,0.025150568973903387,True,9.432558146874356e-06,False,0.03455621633085333,0.013143137837902922,9.432558146874356e-06
44100,raw-control,hann-g32,overlap-reference,A1,0.0005660419187788971,0.00042549473643263607,0.00044645187357091997,True,2.779791658770868e-07,True,0.0005660419187788971,0.00042549473643263607,2.779791658770868e-07
44100,raw-control,hann-g32,overlap-reference,B1,0.0005254442780196669,0.0005121766503675102,0.0004779091822866282,True,1.901185998491341e-07,True,0.0005254442780196669,0.0005121766503675102,1.901185998491341e-07
44100,raw-control,hann-g32,overlap-reference,AB,0.0005658367457240779,0.0004254931400840614,0.0004462672826708015,True,2.778584832692206e-07,True,0.0005658367457240779,0.0004254931400840614,2.778584832692206e-07
44100,raw-control,hann-g32,sustained-edge,A1,0.022333007875423402,0.004682854716730645,0.017344032514146047,True,9.794512461887453e-06,False,0.022333007875423402,0.004682854716730645,9.794512461887453e-06
44100,raw-control,hann-g32,sustained-edge,B1,0.05838532676602323,0.01616119277664089,0.05318757620878504,True,2.067375070599866e-05,False,0.05838532676602323,0.01616119277664089,2.067375070599866e-05
44100,raw-control,hann-g32,sustained-edge,AB,0.022331890778578188,0.004682859861974632,0.017343190954450933,True,9.793826788208503e-06,False,0.022331890778578188,0.004682859861974632,9.793826788208503e-06
44100,raw-control,kaiser-g32,reference,A1,0.0049755259386285115,0.0031077093615109793,0.0038682439565832305,True,1.3154131588992905e-06,True,0.0049755259386285115,0.0031077093615109793,1.3154131588992905e-06
44100,raw-control,kaiser-g32,reference,B1,0.000567848859758034,0.0005912841665141779,0.0005165755523259096,True,1.9011799702968472e-07,True,0.000567848859758034,0.0005912841665141779,1.9011799702968472e-07
44100,raw-control,kaiser-g32,reference,AB,0.004969095528907743,0.0031077403885000168,0.0038634899557119,True,1.3117818550992164e-06,True,0.004969095528907743,0.0031077403885000168,1.3117818550992164e-06
44100,raw-control,kaiser-g32,edge,A1,0.037062796183604405,0.014820674940560599,0.02692895987133807,True,9.43373590737657e-06,False,0.037062796183604405,0.014820674940560599,9.43373590737657e-06
44100,raw-control,kaiser-g32,edge,B1,0.06320693865008584,0.01833926475373942,0.05758929598597088,True,2.067375221104483e-05,False,0.06320693865008584,0.01833926475373942,2.067375221104483e-05
44100,raw-control,kaiser-g32,edge,AB,0.03706273189725477,0.014820688915201372,0.026929197756358676,True,9.432558146874356e-06,False,0.03706273189725477,0.014820688915201372,9.432558146874356e-06
44100,raw-control,kaiser-g32,overlap-reference,A1,0.0006102506681260518,0.00048779376099601776,0.00048189612493219403,True,2.779791658770868e-07,True,0.0006102506681260518,0.00048779376099601776,2.779791658770868e-07
44100,raw-control,kaiser-g32,overlap-reference,B1,0.0005678493828167605,0.0005912851681189342,0.0005165760325941661,True,1.901185998491341e-07,True,0.0005678493828167605,0.0005912851681189342,1.901185998491341e-07
44100,raw-control,kaiser-g32,overlap-reference,AB,0.0006100451234331521,0.00048779216418330657,0.00048171687010585085,True,2.778584832692206e-07,True,0.0006100451234331521,0.00048779216418330657,2.778584832692206e-07
44100,raw-control,kaiser-g32,sustained-edge,A1,0.024005288432954894,0.005288536567617487,0.018671122446245716,True,9.794512461887453e-06,False,0.024005288432954894,0.005288536567617487,9.794512461887453e-06
44100,raw-control,kaiser-g32,sustained-edge,B1,0.06320693411090067,0.01833926340565989,0.05758929184242234,True,2.067375070599866e-05,False,0.06320693411090067,0.01833926340565989,2.067375070599866e-05
44100,raw-control,kaiser-g32,sustained-edge,AB,0.02400416656595762,0.005288541712284895,0.01867030397152826,True,9.793826788208503e-06,False,0.02400416656595762,0.005288541712284895,9.793826788208503e-06
44100,raw-control,lagrange-g64,reference,A1,0.007080061117007574,0.006266745455840878,0.005149363741337962,True,1.3154131588992905e-06,True,0.007080061117007574,0.006266745455840878,1.3154131588992905e-06
44100,raw-control,lagrange-g64,reference,B1,0.0008093986976476843,0.0011967100331030636,0.0006907602689048394,True,1.9011799702968472e-07,True,0.0008093986976476843,0.0011967100331030636,1.9011799702968472e-07
44100,raw-control,lagrange-g64,reference,AB,0.007070984731904761,0.006266715159900159,0.005142928070362534,True,1.3117818550992164e-06,True,0.007070984731904761,0.006266715159900159,1.3117818550992164e-06
44100,raw-control,lagrange-g64,edge,A1,0.05170645154882704,0.029031877768817382,0.03503734452570656,True,9.43373590737657e-06,False,0.05170645154882704,0.029031877768817382,9.43373590737657e-06
44100,raw-control,lagrange-g64,edge,B1,0.09171055849133615,0.036367937333720526,0.07855998048461564,True,2.067375221104483e-05,False,0.09171055849133615,0.036367937333720526,2.067375221104483e-05
44100,raw-control,lagrange-g64,edge,AB,0.051706421768435505,0.029031865072697803,0.03503749599958632,True,9.432558146874356e-06,False,0.051706421768435505,0.029031865072697803,9.432558146874356e-06
44100,raw-control,lagrange-g64,overlap-reference,A1,0.0008663565100815313,0.0008883995981116973,0.0006830792365578053,True,2.779791658770868e-07,True,0.0008663565100815313,0.0008883995981116973,2.779791658770868e-07
44100,raw-control,lagrange-g64,overlap-reference,B1,0.0008093994017643998,0.0011967101544397129,0.0006907608697216283,True,1.901185998491341e-07,True,0.0008093994017643998,0.0011967101544397129,1.901185998491341e-07
44100,raw-control,lagrange-g64,overlap-reference,AB,0.0008662152073587565,0.0008884011981121932,0.0006829753322309418,True,2.778584832692206e-07,True,0.0008662152073587565,0.0008884011981121932,2.778584832692206e-07
44100,raw-control,lagrange-g64,sustained-edge,A1,0.033918599847705615,0.010680800927451531,0.026499771239973054,True,9.794512461887453e-06,False,0.033918599847705615,0.010680800927451531,9.794512461887453e-06
44100,raw-control,lagrange-g64,sustained-edge,B1,0.09171055258404955,0.03636793586391306,0.07855997550342148,True,2.067375070599866e-05,False,0.09171055258404955,0.03636793586391306,2.067375070599866e-05
44100,raw-control,lagrange-g64,sustained-edge,AB,0.03391782049768762,0.010680795742294587,0.026499298481612695,True,9.793826788208503e-06,False,0.03391782049768762,0.010680795742294587,9.793826788208503e-06
44100,raw-control,hann-g64,reference,A1,0.0032090710187000792,0.0014038167405935973,0.0025208330463402104,True,1.3154131588992905e-06,True,0.0032090710187000792,0.0014038167405935973,1.3154131588992905e-06
44100,raw-control,hann-g64,reference,B1,0.000365383742916503,0.00025556679430206405,0.00033369899407058665,True,1.9011799702968472e-07,True,0.000365383742916503,0.00025556679430206405,1.9011799702968472e-07
44100,raw-control,hann-g64,reference,AB,0.0032048846292974664,0.0014038487086401362,0.002517621884056272,True,1.3117818550992164e-06,True,0.0032048846292974664,0.0014038487086401362,1.3117818550992164e-06
44100,raw-control,hann-g64,edge,A1,0.024364893111741278,0.006878565555968284,0.01795380020974465,True,9.43373590737657e-06,False,0.024364893111741278,0.006878565555968284,9.43373590737657e-06
44100,raw-control,hann-g64,edge,B1,0.04004999146318309,0.007774041995887399,0.03658846303699424,True,2.067375221104483e-05,False,0.04004999146318309,0.007774041995887399,2.067375221104483e-05
44100,raw-control,hann-g64,edge,AB,0.024364820717150362,0.006878579811910868,0.017953986608348946,True,9.432558146874356e-06,False,0.024364820717150362,0.006878579811910868,9.432558146874356e-06
44100,raw-control,hann-g64,overlap-reference,A1,0.0004052386771577525,0.0002217683877496225,0.00031983778638255164,True,2.779791658770868e-07,True,0.0004052386771577525,0.0002217683877496225,2.779791658770868e-07
44100,raw-control,hann-g64,overlap-reference,B1,0.0003653841415052015,0.0002555669692299026,0.000333699366553875,True,1.901185998491341e-07,True,0.0003653841415052015,0.0002555669692299026,1.901185998491341e-07
44100,raw-control,hann-g64,overlap-reference,AB,0.0004050832379587795,0.00022176679496890698,0.0003196784886558848,True,2.778584832692206e-07,True,0.0004050832379587795,0.00022176679496890698,2.778584832692206e-07
44100,raw-control,hann-g64,sustained-edge,A1,0.01609393119186035,0.0024451555974964374,0.01249305786019898,True,9.794512461887453e-06,False,0.01609393119186035,0.0024451555974964374,9.794512461887453e-06
