source,role,case,mode,finite,partition_exact,difference_from_AB_rms,peak_linear,rms_linear,dc_left,dc_right,peak_dbfs,rms_dbfs,source_window_rms_dbfs,e_to_source_db,spectral_energy_centroid_hz,tail_energy,tail_energy_centroid_seconds,d1_min_path_m,d1_max_path_m,d1_max_speed_mps,d1_correction_rms,d1_drain_samples
-_Sub Bass.wav,user supplied musical sample,AB,a1b1,True,True,0.0,0.028911398723721504,0.0004564876004145156,5.061895559024651e-08,5.020089120328843e-08,-30.778617936009596,-66.81142029445303,-65.76690598646036,-44.08308074966814,4403.915176005673,0.0,0.0,,,,,
-_Sub Bass.wav,user supplied musical sample,AB-D0,a1b1d,True,True,0.01320210510602038,0.09174488484859467,0.013209044713127413,-4.652911828641261e-09,-3.3697057464735717e-09,-20.748362801780488,-37.58257179429399,-36.53805748630132,-14.8542322495091,107.91520665446106,0.0,0.0,,,,,
-_Sub Bass.wav,user supplied musical sample,A-U0-A0.005,a1b1d1,True,True,0.0,0.028911398723721504,0.0004564876004145156,5.061895559024651e-08,5.020089120328843e-08,-30.778617936009596,-66.81142029445303,-65.76690598646036,-44.08308074966814,4403.915176005673,0.0,0.0,0,0,0,0,4
-_Sub Bass.wav,user supplied musical sample,A-U0-A0.015,a1b1d1,True,True,0.0,0.028911398723721504,0.0004564876004145156,5.061895559024651e-08,5.020089120328843e-08,-30.778617936009596,-66.81142029445303,-65.76690598646036,-44.08308074966814,4403.915176005673,0.0,0.0,0,0,0,0,4
-_Sub Bass.wav,user supplied musical sample,A-U0-A0.03,a1b1d1,True,True,0.0,0.028911398723721504,0.0004564876004145156,5.061895559024651e-08,5.020089120328843e-08,-30.778617936009596,-66.81142029445303,-65.76690598646036,-44.08308074966814,4403.915176005673,0.0,0.0,0,0,0,0,4
-_Sub Bass.wav,user supplied musical sample,A-U0.05-A0.005,a1b1d1,True,True,2.891635162748472e-05,0.028963027521967888,0.00045598462744686133,5.061907145745632e-08,5.020102620676827e-08,-30.763120860988273,-66.8209959680945,-65.77648166010182,-44.092656423309606,4359.236947453749,0.0,0.0,0,0.0049249354004859925,0.011576681562097332,2.8916351715952816e-05,4
-_Sub Bass.wav,user supplied musical sample,A-U0.05-A0.015,a1b1d1,True,True,7.830097133876171e-05,0.029056204482913017,0.00045685454367293716,5.0619262047512966e-08,5.020122544980276e-08,-30.735222336054434,-66.80444102860355,-65.75992672061088,-44.07610148381866,4362.464509320609,0.0,0.0,0,0.014774806201457977,0.034730044686291997,7.8300971277127051e-05,4
-_Sub Bass.wav,user supplied musical sample,A-U0.05-A0.03,a1b1d1,True,True,0.00013817067006896794,0.029171006754040718,0.00045868194498064507,5.061778251571545e-08,5.019971503623703e-08,-30.700971643702065,-66.76976709182733,-65.72525278383466,-44.041427547042446,4419.001553125646,0.0,0.0,0,0.029549612402915953,0.049999999981973492,0.00013817067020628767,4
-_Sub Bass.wav,user supplied musical sample,A-U0.2-A0.005,a1b1d1,True,True,3.429658065137319e-05,0.029086502268910408,0.00045590465476115613,5.061886227336101e-08,5.020077950560082e-08,-30.726170014139186,-66.82251947305815,-65.77800516506548,-44.09417992827326,4354.784190467009,0.0,0.0,0,0.0049524778127670293,0.046306725983713937,3.4296580592813611e-05,4
-_Sub Bass.wav,user supplied musical sample,A-U0.2-A0.015,a1b1d1,True,True,9.068888656526705e-05,0.029299547895789146,0.0004572706471375576,5.061864554211203e-08,5.020056320522158e-08,-30.66278161877369,-66.79653351427692,-65.75201920628425,-44.06819396949203,4373.84793326081,0.0,0.0,0,0.014857433438301086,0.13892017795116093,9.0688886686092506e-05,4
