rate,kernel,frequency_hz,relative_rms_error,peak_normalized_error,spectral_magnitude_relative_error,finite,core_pass
44100,lagrange-g0,1000.0,8.505807760185987e-06,1.7130625340725064e-05,6.709152234269047e-06,True,True
44100,lagrange-g0,2000.0,0.0001353026452840008,0.0002715582883125047,0.00010920218626800718,True,True
44100,lagrange-g0,4000.0,0.0021148289816744215,0.0042523201662027325,0.0014264028721767354,True,True
44100,lagrange-g0,8000.0,0.030809717250291083,0.06170532864256431,0.01768147675314575,True,False
44100,lagrange-g0,12000.0,0.13323232070960908,0.2647872834004838,0.05903029345401655,True,False
44100,lagrange-g0,16000.0,0.33683490101040103,0.6616396659717397,0.20604547659280942,True,False
44100,lagrange-g0,18000.0,0.4706281169555885,0.9169433057196986,0.38147695571793755,True,False
44100,lagrange-g0,20000.0,0.6151494189401027,1.1879224759904865,0.42921302054994226,True,False
44100,lagrange-g8,1000.0,1.7748672339450232e-13,8.314321458617037e-13,1.2770955891046113e-13,True,True
44100,lagrange-g8,2000.0,3.541095234662339e-13,1.6506934725673627e-12,2.534303063878288e-13,True,True
44100,lagrange-g8,4000.0,5.1343771498752977e-11,8.793688160959619e-11,1.4914721861326358e-11,True,True
44100,lagrange-g8,8000.0,3.747322443319649e-06,6.355093906659505e-06,1.90987683629318e-06,True,True
44100,lagrange-g8,12000.0,0.0013782805595841203,0.002339166015930563,0.0009240400690150259,True,True
44100,lagrange-g8,16000.0,0.045435341576499096,0.07713595421939698,0.03354968094938945,True,False
44100,lagrange-g8,18000.0,0.14356769973743744,0.24378304811151932,0.10029496343873186,True,False
44100,lagrange-g8,20000.0,0.3326082903131809,0.5645124578927132,0.23695343191787227,True,False
44100,hann-g8,1000.0,0.00010770243366078197,0.00022824133662129623,0.00010568497154185426,True,True
44100,hann-g8,2000.0,0.00031174928156331845,0.0006548150628635967,0.0003024797346624376,True,True
44100,hann-g8,4000.0,0.0001954883244558038,0.0004133997816650412,0.00018439370634867612,True,True
44100,hann-g8,8000.0,0.0006181467908616826,0.0012086267570948544,0.0005307867181711792,True,True
44100,hann-g8,12000.0,0.000152741890079821,0.00020349443333015014,0.00013058416881814286,True,True
44100,hann-g8,16000.0,0.005875004619165924,0.00987151417680033,0.005029163467940058,True,False
44100,hann-g8,18000.0,0.016397243703831502,0.028057165837999862,0.011593292962940352,True,False
44100,hann-g8,20000.0,0.19823955766890966,0.3376615818670043,0.1506224767816136,True,False
44100,kaiser-g8,1000.0,3.727436434450399e-05,4.8134451533428164e-05,3.02044642914304e-05,True,True
44100,kaiser-g8,2000.0,3.936221952348568e-05,5.035669174863155e-05,3.4576578582877974e-05,True,True
44100,kaiser-g8,4000.0,4.175468065362767e-05,5.2832791389464525e-05,3.256502743277702e-05,True,True
44100,kaiser-g8,8000.0,3.0271606232621312e-05,3.837746976323127e-05,2.3991318319346533e-05,True,True
44100,kaiser-g8,12000.0,2.6994669012068396e-05,3.4904200756702566e-05,2.326689120501717e-05,True,True
44100,kaiser-g8,16000.0,0.003441928037503115,0.005862160788049526,0.002941833698076921,True,True
44100,kaiser-g8,18000.0,0.05428947553395291,0.0924639020746448,0.037661190927359846,True,False
44100,kaiser-g8,20000.0,0.24159012601864716,0.4113698071472808,0.1835747815185079,True,False
44100,lagrange-g16,1000.0,1.7806451796458326e-13,8.337081030635751e-13,1.2820322775021978e-13,True,True
44100,lagrange-g16,2000.0,3.5524035152970834e-13,1.6522477848035016e-12,2.543563546734434e-13,True,True
44100,lagrange-g16,4000.0,7.114640290531312e-13,3.34590694613296e-12,4.985703628213237e-13,True,True
44100,lagrange-g16,8000.0,1.3879670663909608e-10,2.367792631812338e-10,7.138830445642906e-11,True,True
44100,lagrange-g16,12000.0,1.1100961923161569e-05,1.8872417030769477e-05,7.5756777975266165e-06,True,True
44100,lagrange-g16,16000.0,0.00746634681626683,0.012696485375527889,0.005665218681038307,True,False
44100,lagrange-g16,18000.0,0.05816358151643297,0.09890709735761004,0.041221523121850255,True,False
44100,lagrange-g16,20000.0,0.2405615967809059,0.4090057900821796,0.17607940926024632,True,False
44100,hann-g16,1000.0,3.768254821669213e-05,7.986867045842867e-05,3.698118798132914e-05,True,True
44100,hann-g16,2000.0,2.566511759060193e-05,5.426239389595981e-05,2.488953625619681e-05,True,True
44100,hann-g16,4000.0,5.021352686463314e-05,0.00010432436685659134,4.748899517061226e-05,True,True
44100,hann-g16,8000.0,3.364068457275419e-05,4.484346994697972e-05,2.5314324493363883e-05,True,True
44100,hann-g16,12000.0,0.0001275119227190532,0.0002355237938845234,0.00011337167232442273,True,True
44100,hann-g16,16000.0,0.00036150115663256875,0.0005977362165321557,0.0003084029261904577,True,True
44100,hann-g16,18000.0,0.0021513639351747526,0.003682215003379693,0.0015303066614900038,True,True
44100,hann-g16,20000.0,0.014350917660792535,0.024454203291240654,0.011074095429596548,True,False
44100,kaiser-g16,1000.0,3.8194591071690894e-05,5.9098701420187e-05,3.725512329861119e-05,True,True
44100,kaiser-g16,2000.0,2.5540023504755375e-05,3.393304103973019e-05,2.3333889668819753e-05,True,True
44100,kaiser-g16,4000.0,4.434323244421978e-05,7.045004424379022e-05,4.29697129816002e-05,True,True
44100,kaiser-g16,8000.0,1.0963419203806579e-05,1.3899544850274529e-05,7.540126664977573e-06,True,True
44100,kaiser-g16,12000.0,5.1586769243264434e-05,8.467712377358127e-05,4.7688106848974846e-05,True,True
44100,kaiser-g16,16000.0,1.4037253020447386e-05,2.2125460710936417e-05,1.2735847305764067e-05,True,True
44100,kaiser-g16,18000.0,4.16875350047529e-05,6.372209747920363e-05,3.9561788304344954e-05,True,True
44100,kaiser-g16,20000.0,0.051704802878129764,0.08804122567920936,0.03960140201529476,True,False
44100,lagrange-g32,1000.0,1.7851398923031646e-13,8.360812047801605e-13,1.2861137130151383e-13,True,True
44100,lagrange-g32,2000.0,3.5590562485161983e-13,1.6529139186189897e-12,2.5491536574922157e-13,True,True
44100,lagrange-g32,4000.0,7.128968082973318e-13,3.353595240719218e-12,4.998086528664217e-13,True,True
44100,lagrange-g32,8000.0,1.4273014783930135e-12,6.624062418594924e-12,9.86485945894405e-13,True,True
44100,lagrange-g32,12000.0,9.72398023694003e-10,1.6546757383890854e-09,6.701408387070862e-10,True,True
44100,lagrange-g32,16000.0,0.0002577800444554204,0.0004386139198334923,0.00019779316714392376,True,True
44100,lagrange-g32,18000.0,0.011607606160284003,0.019750552516452528,0.00830546984657166,True,False
44100,lagrange-g32,20000.0,0.14191925299956396,0.24149728866821404,0.10522989622405525,True,False
44100,hann-g32,1000.0,3.241562165403675e-06,6.882462701513665e-06,3.182206853575075e-06,True,True
44100,hann-g32,2000.0,5.689219047894045e-06,1.1975361827782488e-05,5.522865304897742e-06,True,True
44100,hann-g32,4000.0,1.186054125646883e-06,1.5916597546571445e-06,9.083358911975357e-07,True,True
44100,hann-g32,8000.0,1.6433667773227324e-06,2.1825185814061885e-06,1.1721187007802125e-06,True,True
44100,hann-g32,12000.0,6.355632296408978e-06,1.2718932741453049e-05,5.6110236652731375e-06,True,True
