rate,profile,overlap_frames,overlap_energy,total_energy
44100,reference,0,0.0,0.02178137663452153
44100,edge,0,0.0,0.023255461089955663
44100,overlap-reference,787,0.0021744802812535486,50.34442175064202
44100,sustained-edge,100,0.004783412836399335,1.468657739976289
48000,reference,0,0.0,0.0008617957543176739
48000,edge,0,0.0,0.011038015080936506
48000,overlap-reference,731,0.0008298245364681133,93.74476107261353
48000,sustained-edge,16,0.0001729159692761547,2.2103166150690154
96000,reference,0,0.0,0.001262455665679474
96000,edge,0,0.0,0.008560026295427943
96000,overlap-reference,2918,0.2131324728000145,0.8846238618221524
96000,sustained-edge,0,0.0,1.5477639458495729
