rate,delay_ms,mechanism,physical_range,magnitude_min_db,magnitude_max_db,ripple_db,valid_group_min_ms,valid_group_max_ms,reference_convergence
44100,0.0033692722371967652,M0,True,0.0,0.0,0.0,-0.0,-0.0,1.7478996167744913e-07
44100,0.0033692722371967652,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.003369272237196764,0.0033692722371967665,1.7478996167744913e-07
44100,0.0033692722371967652,M2,True,-10.087963354339376,0.12779862493850302,10.215761979277879,-0.011906526922229658,0.012536723793455981,1.7478996167744913e-07
44100,0.0033692722371967652,M3,True,5.82449562480962,6.020599913279624,0.19610428847000438,0.0016846361185983822,0.0016846361185983828,1.7478996167744913e-07
44100,0.0033692722371967652,M4,True,1.7440371032210342,6.041527360964825,4.297490257743791,-0.012185001662928801,0.004853254206293867,1.7478996167744913e-07
44100,0.0033692722371967652,D0-frozen-mechanism,True,-300.0,-27.53005548019347,272.4699445198065,0.0016846361119493684,0.0016846361465157988,1.7478996167744913e-07
44100,0.010107816711590296,M0,True,0.0,0.0,0.0,-0.0,-0.0,3.8278357636671115e-07
44100,0.010107816711590296,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.010107816711590294,0.0101078167115903,3.8278357636671115e-07
44100,0.010107816711590296,M2,True,-0.7349488382914808,0.5950924416497021,1.330041279941183,0.010107816711590294,0.04117512585430651,3.8278357636671115e-07
44100,0.010107816711590296,M3,True,4.1366967804629855,6.020599913279624,1.8839031328166387,0.005053908355795147,0.00505390835579515,3.8278357636671115e-07
44100,0.010107816711590296,M4,True,-5.6105126077902305,6.020599913279624,11.631112521069856,0.0030126217363589383,0.014097988143279429,3.8278357636671115e-07
44100,0.010107816711590296,D0-frozen-mechanism,True,-300.0,-18.51461196724637,281.48538803275363,0.005053908341078709,0.005053908357104695,3.8278357636671115e-07
44100,0.02021563342318059,M0,True,0.0,0.0,0.0,-0.0,-0.0,1.2983247938010515e-07
44100,0.02021563342318059,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.020215633423180585,0.0202156334231806,1.2983247938010515e-07
44100,0.02021563342318059,M2,True,1.928654933106574e-15,0.9463069585826942,0.9463069585826923,0.02021563342318059,0.026121598053096162,1.2983247938010515e-07
44100,0.02021563342318059,M3,True,-4.550529357632523,6.020599913279624,10.571129270912147,0.01010781671159029,0.010107816711590301,1.2983247938010515e-07
44100,0.02021563342318059,M4,True,-8.552341133330728,6.020599913279624,14.572941046610353,0.0101078167115903,0.03741444742431841,1.2983247938010515e-07
44100,0.02021563342318059,D0-frozen-mechanism,True,-300.0,-14.377915186783385,285.6220848132166,0.010107816707486983,0.01010781671420939,1.2983247938010515e-07
44100,0.03369272237196766,M0,True,0.0,0.0,0.0,-0.0,-0.0,3.880282715434226e-07
44100,0.03369272237196766,M1,True,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.033692722371967646,0.033692722371967666,3.880282715434226e-07
44100,0.03369272237196766,M2,True,-13.186579571272485,0.0,13.186579571272485,0.02253177835589095,0.03369272237196766,3.880282715434226e-07
44100,0.03369272237196766,M3,True,-300.0,6.020599913279624,306.0205999132796,0.016846361182716423,0.01684636118633693,3.880282715434226e-07
44100,0.03369272237196766,M4,True,-10.35675462438562,6.020599913279624,16.377354537665244,-0.08549154107225766,0.01684636118598383,3.880282715434226e-07
44100,0.03369272237196766,D0-frozen-mechanism,True,-300.0,-13.979400086720375,286.0205999132796,0.016846361182706767,0.016846361186337023,3.880282715434226e-07
44100,0.05,M0,False,0.0,0.0,0.0,-0.0,-0.0,2.3322478480256537e-07
44100,0.05,M1,False,-1.9286549331065743e-15,1.928654933106574e-15,3.857309866213148e-15,0.04999999999999998,0.050000000000000024,2.3322478480256537e-07
44100,0.05,M2,False,-3.430413154126948,0.0,3.430413154126948,0.03531521587834614,0.05,2.3322478480256537e-07
44100,0.05,M3,False,-300.0,6.020599913279624,306.0205999132796,0.02499999999979481,0.025000000001235586,2.3322478480256537e-07
44100,0.05,M4,False,-26.20933364968601,6.020599913279624,32.229933562965634,-0.9474636012609844,0.025,2.3322478480256537e-07
44100,0.05,D0-frozen-mechanism,False,-300.0,-13.979400086720375,286.0205999132796,0.024999999999794027,0.025000000001230902,2.3322478480256537e-07
