rate,kernel,frequency_hz,magnitude_error_db,phase_error_rad,group_delay_error_ns,complex_error
44100,lagrange-g0,1000.0,0.0001476166333806998,2.252524382856776e-06,1.7887312936871558,1.713368608423379e-05
44100,lagrange-g0,2000.0,0.0022905138577939176,7.094153433302e-05,27.98465166662056,0.0002724722674234563
44100,lagrange-g0,4000.0,0.03234119816427233,0.002124406636272426,407.35435540545285,0.004254455245310771
44100,lagrange-g0,8000.0,0.3144714843754042,0.0513945223455258,4357.554205774238,0.06171307835671885
44100,lagrange-g0,12000.0,1.4803141976266159,0.25533624072909233,12329.042195188582,0.26481442830035606
44100,lagrange-g0,16000.0,4.57142154049756,0.6914152720182529,23085.05735746873,0.6617150517048759
44100,lagrange-g0,18000.0,7.610899576929774,1.0283799550083292,31847.631757645257,0.9173247207139537
44100,lagrange-g0,20000.0,13.186579571272484,1.4998390692843782,52772.854034693584,1.1881084708017997
44100,lagrange-g8,1000.0,3.857309866213149e-15,2.590249097146434e-16,1.2084060131974493e-10,5.551115123125783e-16
44100,lagrange-g8,2000.0,3.857309866213149e-15,1.059160213636862e-15,1.0875654118777044e-09,1.0235750533041806e-15
44100,lagrange-g8,4000.0,2.3545019423684176e-10,8.395462751450917e-11,5.524437546374427e-05,8.714055525847569e-11
44100,lagrange-g8,8000.0,3.221369637164508e-05,5.532166385086036e-06,1.6710678793654092,6.360109909775736e-06
44100,lagrange-g8,12000.0,0.016021789725080983,0.0017709597560887729,305.90505013497796,0.002339496477930677
44100,lagrange-g8,16000.0,0.6336421791819002,0.052680164747375836,5512.89908846752,0.07714192679785682
44100,lagrange-g8,18000.0,2.2783338728724294,0.17230088673822058,14777.342256031883,0.24379119675518393
44100,lagrange-g8,20000.0,6.871168835019066,0.47551337883005546,38903.244167783385,0.5648917551924771
44100,hann-g8,1000.0,0.0019827957854007235,1.0391799659872191e-05,4.528834500140685,0.00022825179273424533
44100,hann-g8,2000.0,0.005709866949526336,5.4507045467513935e-05,7.735421491800668,0.0006571571363117317
44100,hann-g8,4000.0,0.0035942435890396153,1.3426302757769047e-05,21.970885113661154,0.00041371702323587267
44100,hann-g8,8000.0,0.010505683376880095,0.0003447992602161237,19.45483347379301,0.0012087898484137286
44100,hann-g8,12000.0,0.0006279570063709736,0.0002011873348969611,178.4681171124961,0.00020350719553285164
44100,hann-g8,16000.0,0.08532370106600635,0.005074579563355266,621.4358809629529,0.009871918184388508
44100,hann-g8,18000.0,0.2472991477755854,0.01404374157974557,5519.281847205048,0.028070572375409098
44100,hann-g8,20000.0,3.5795075149635753,0.20441553228198167,30091.80212520303,0.3377585498562726
44100,kaiser-g8,1000.0,0.00012783666381748616,4.5860460110791127e-05,3.416946624542397,4.81373535611083e-05
44100,kaiser-g8,2000.0,0.0003329308053446359,3.302716355631846e-05,7.067621088565995,5.036527625820514e-05
44100,kaiser-g8,4000.0,0.00018753125868615665,5.142043794729913e-05,1.2351159850583275,5.2832442150791835e-05
44100,kaiser-g8,8000.0,0.00030252457554764733,2.5910726811924977e-05,11.775879359644398,3.837894945158635e-05
44100,kaiser-g8,12000.0,0.00015784602243710532,2.98148573539371e-05,17.858620714403635,3.490473010714735e-05
44100,kaiser-g8,16000.0,0.051068901514428576,0.0029372338496241137,964.4731471601037,0.005862419179012846
44100,kaiser-g8,18000.0,0.8431199058841172,0.04850619270028332,7838.156930646927,0.09250801875566035
44100,kaiser-g8,20000.0,4.604637317519263,0.262055562851136,31535.170865356173,0.4114879631682708
44100,lagrange-g16,1000.0,3.857309866213149e-15,4.919487107780369e-16,1.611208017596599e-10,4.965068306494546e-16
44100,lagrange-g16,2000.0,5.785964799319721e-15,5.396054197858004e-16,4.028020043991498e-10,7.270954337185017e-16
44100,lagrange-g16,4000.0,5.785964799319721e-15,1.0146164726565098e-15,4.028020043991498e-10,1.0778315928076987e-15
44100,lagrange-g16,8000.0,1.2146745915751856e-09,2.043162587442499e-10,0.00011960383804543777,2.359384077206893e-10
44100,lagrange-g16,12000.0,0.0001310658924547818,1.4140081162216992e-05,4.680999294062756,1.8874775201640732e-05
44100,lagrange-g16,16000.0,0.10273541155167368,0.008229029405218967,1539.8014901883384,0.012696627620881674
44100,lagrange-g16,18000.0,0.8672689757492952,0.06272868192658737,8736.249632063333,0.09891415632010961
44100,lagrange-g16,20000.0,4.4509592274777505,0.2971798760422805,34052.9955003689,0.4091302439512366
44100,hann-g16,1000.0,0.0006937902119222061,3.301251855474798e-06,0.9271882539141201,7.98723730560864e-05
44100,hann-g16,2000.0,0.0004732200326613942,5.203511972413683e-07,2.465431584157423,5.4479986035082175e-05
44100,hann-g16,4000.0,0.0009067181902097122,1.4755512266674175e-05,1.638692045207687,0.00010438454099757365
44100,hann-g16,8000.0,0.00036185798864597074,3.7410050857634086e-05,8.970293651098203,4.484387589581246e-05
44100,hann-g16,12000.0,0.0020461114520765027,9.017644291263249e-05,37.261640157821255,0.00023554292356238807
44100,hann-g16,16000.0,0.005190366396523793,0.00032134324539848954,214.33365173318924,0.0005977586588301988
44100,hann-g16,18000.0,0.03205691319433258,0.0018175873175341913,156.91663292119105,0.0036839750182446145
44100,hann-g16,20000.0,0.21510376507097748,0.01235860472134658,10434.18958559262,0.02446122454069479
44100,kaiser-g16,1000.0,0.0005133255801225866,1.2362891232083252e-05,3.6117144552494223,5.910073609472991e-05
44100,kaiser-g16,2000.0,0.0002932890814802973,1.5949519849915474e-05,1.2085288316371712,3.3938557653218185e-05
44100,kaiser-g16,4000.0,0.0006121381838951872,6.485862567407751e-06,5.808023012011234,7.047753792087045e-05
44100,kaiser-g16,8000.0,5.976651035107421e-05,1.3803709502951004e-05,6.465164457165918,1.3900971033178803e-05
