rate,conditioner,family,cutoff_hz,cutoff_definition,order,filter_latency_samples,core_max_magnitude_change_db,core_max_phase_change_rad,core_group_min_us,core_group_max_us,core_complex_change,max_gain_db,stable,max_pole_radius,before_main_energy_fraction,before_input_energy,ringing_span_ms,gain_16000_db,gain_18000_db,gain_20000_db,gain_nyquist_db,core_magnitude_pass,bounded_filter_pass
44100,raw-control,raw,0,identity,0,0,0.0,0.0,-0.0,-0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
44100,butter4-fc18000,butter4,18000,half power,4,0,0.12890693533014153,1.818508931893347,8.79322065573329,64.39019215313257,1.5664943141341998,3.857309866213148e-15,True,0.809060171209543,0.2656188385641642,0.0,0.9070294784580499,-0.12890693533014153,-3.0102999566398116,-24.40682904502085,-6000.0,False,True
44100,butter4-fc20000,butter4,20000,half power,4,0,0.0004760012342120732,0.8485260316046523,4.357724394262323,26.154879600970204,0.8232759404265839,3.857309866213148e-15,True,0.8952616229565596,0.0,0.0,1.564625850340136,-0.0004760012342120732,-0.015772109138031454,-3.0102999566398,-6000.0,True,True
44100,butter6-fc18000,butter6,18000,half power,6,0,0.02265067649042204,2.655436372349196,13.001438362864437,92.01992493543922,1.9386756912301708,5.785964799319721e-15,True,0.8674958998754826,0.12685155407919987,0.0,1.3151927437641724,-0.02265067649042204,-3.010299956639803,-36.58753837139435,-6000.0,True,True
44100,butter6-fc20000,butter6,20000,half power,6,0,4.9837404275877515e-06,1.2520836401317557,6.443223402788991,38.410630121527156,1.1718833296201214,5.785964799319721e-15,True,0.9280562804416498,0.3552540724228135,0.0,2.35827664399093,-4.9837404275877515e-06,-0.0009529675701079147,-3.010299956639806,-6000.0,True,True
44100,bessel4-fc18000,bessel4,18000,half power,4,0,1.1903913397890322,1.36431647394439,7.113374962058641,40.71792726125229,1.184373204454518,9.643274665532866e-15,True,0.79775824896303,0.38968784912235827,0.0,0.8616780045351474,-1.1903913397890322,-3.0102999566398077,-13.6281614493696,-6000.0,False,True
44100,bessel4-fc20000,bessel4,20000,half power,4,0,0.28558925570238625,0.6761901414673807,3.5252302670354276,20.195543699126567,0.6533656051852427,1.1571929598639439e-14,True,0.8927805467841308,0.0,0.0,1.655328798185941,-0.28558925570238625,-0.6924739673036382,-3.0102999566398196,-6000.0,False,True
44100,fir33-fc18000,fir33,18000,half amplitude,32,16,0.1636981129176988,8.388379846216367e-15,-5.227813841387083e-10,5.312299736094479e-10,0.018669957980820717,0.009815295091869902,True,0.0,0.0785678580744644,0.0,0.6802721088435374,-0.1636981129176988,-6.019232424266661,-34.519714254747754,-61.857091227063385,False,True
44100,fir33-fc20000,fir33,20000,half amplitude,32,16,0.005332830068000492,8.304874183731645e-15,-5.151034447009289e-10,5.414237231026836e-10,0.000613776313111436,0.005962636597655709,True,0.0,0.03326280273168638,0.0,0.7256235827664399,-0.004745841886111149,-0.1612413057052023,-6.016452185897986,-30.15095060864089,True,True
44100,fir65-fc18000,fir65,18000,half amplitude,64,32,0.004892980281741044,1.6680125418237023e-14,-1.012354808558499e-09,1.0583525294822313e-09,0.000563166535016868,0.0099076593093686,True,0.0,0.08530841724108176,0.0,1.4058956916099772,-0.004892980281741044,-6.018727265462697,-69.41074629146561,-73.02009235185588,True,True
44100,fir65-fc20000,fir65,20000,half amplitude,64,32,0.0016059867879464223,1.678280525312536e-14,-1.0193319669783914e-09,1.0684507322608667e-09,0.0001848789696501374,0.01041234463280399,True,0.0,0.03996736230368694,0.0,1.4058956916099772,0.00037298400045186,-0.005486322642429395,-6.017848932409611,-63.721379940531875,True,True
48000,raw-control,raw,0,identity,0,0,0.0,0.0,-0.0,-0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
48000,butter4-fc18000,butter4,18000,half power,4,0,0.29461170165017525,2.0668992295826465,11.274918790046398,61.488183647443556,1.6895761854343443,3.857309866213148e-15,True,0.7576687370374697,0.1612288806260899,0.0,0.6666666666666666,-0.29461170165017525,-3.010299956639815,-15.264918942352487,-6000.0,False,True
48000,butter4-fc20000,butter4,20000,half power,4,0,0.00933731479109943,1.2548981589029247,7.293593591741602,32.555084140964716,1.1735328085163255,7.714619732426294e-15,True,0.8238807301474834,0.301044181337812,0.0,0.9166666666666666,-0.00933731479109943,-0.13116996671277023,-3.0102999566398223,-6000.0,True,True
48000,butter6-fc18000,butter6,18000,half power,6,0,0.08001962122092673,3.011872294625249,16.67081578325967,88.87080160183389,1.9866437094770102,9.643274665532866e-15,True,0.8310228175215748,0.05794607736077927,0.0,0.9583333333333333,-0.08001962122092673,-3.0102999566398236,-22.723880725328762,-6000.0,True,True
48000,butter6-fc20000,butter6,20000,half power,6,0,0.0004336302665795542,1.8456356025961553,10.784126913181815,47.232337149633416,1.5945712770979568,9.643274665532866e-15,True,0.8779731481494046,0.15431568591992906,0.0,1.3333333333333333,-0.0004336302665795542,-0.023257261869182328,-3.010299956639821,-6000.0,True,True
48000,bessel4-fc18000,bessel4,18000,half power,4,0,1.4827619594869081,1.5162822668437599,9.120972639253583,36.41406364882429,1.2723556501901847,1.1571929598639439e-14,True,0.7332820904698543,0.2741043386896564,0.0,0.5625,-1.4827619594869081,-3.0102999566398143,-7.928070467157999,-6000.0,False,True
48000,bessel4-fc20000,bessel4,20000,half power,4,0,0.6059622130738027,0.9810650331750567,5.900234745749382,23.596729612309026,0.9123843225578557,9.643274665532866e-15,True,0.8149460119310996,0.42563946240430867,0.0,0.875,-0.6059622130738027,-1.195839606850397,-3.01029995663981,-6000.0,False,True
48000,fir33-fc18000,fir33,18000,half amplitude,32,16,0.2685879909909166,7.896019472322639e-15,-4.394447813614168e-10,4.546724649669547e-10,0.030449129883879822,0.01115928699694993,True,0.0,0.1116928813767454,0.0,0.625,-0.2685879909909166,-6.016838904957064,-30.30443546275286,-79.28413926634967,False,True
48000,fir33-fc20000,fir33,20000,half amplitude,32,16,0.0034878998720724334,7.93701322900137e-15,-4.421198583730681e-10,4.44989625610234e-10,0.0004016399482982269,0.009503307422062011,True,0.0,0.07007326746765524,0.0,0.6666666666666666,-0.003173286704018484,-0.26887509971911855,-6.023569668853719,-58.125509694371914,True,True
48000,fir65-fc18000,fir65,18000,half amplitude,64,32,0.006065968332774662,1.567862957439025e-14,-8.694972287404764e-10,9.03337094292743e-10,0.0006981266090227978,0.0101766217614054,True,0.0,0.11846242744046392,0.0,1.2916666666666667,-0.005956651711623027,-6.0182637779104144,-63.81289464294057,-68.55970938157152,True,True
48000,fir65-fc20000,fir65,20000,half amplitude,64,32,0.004443214151201498,1.5491752452003556e-14,-8.532486213402344e-10,8.784467744379504e-10,0.0005114131171860548,0.006709225611525211,True,0.0,0.07680713171866015,0.0,1.3333333333333333,0.0021144388913822564,-0.007503779956072942,-6.023195109665782,-64.40037098677021,True,True
96000,raw-control,raw,0,identity,0,0,0.0,0.0,-0.0,-0.0,0.0,0.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,True
