rate,candidate,frequency_hz,in_source_band,magnitude_error_db,phase_error_rad,group_delay_error_ns
44100,lagrange3,1000.0,True,0.0001476166333806998,2.2525243828637082e-06,1.7887312936896367
44100,lagrange3,2000.0,True,0.0022905138577939176,7.094153433300616e-05,27.984651666619058
44100,lagrange3,4000.0,True,0.03234119816427041,0.002124406636272426,407.3543554054529
44100,lagrange3,4410.0,True,0.04607625733392598,0.0033930907616533086,585.1343876372068
44100,lagrange3,8000.0,True,0.3144714843754042,0.05139452234552575,4357.554205774237
44100,lagrange3,8820.0,True,0.45630132450579847,0.0773560875044309,5756.149192972216
44100,lagrange3,12000.0,True,1.4803141976266159,0.25533624072909233,12329.042195188582
44100,lagrange3,13230.0,True,2.15365910983405,0.36165802282389986,15240.88197148253
44100,lagrange3,16000.0,True,4.57142154049756,0.6914152720182528,23085.057357468726
44100,lagrange3,17640.0,True,6.941020618045838,0.9598929920086258,29867.714024121047
44100,lagrange3,18000.0,True,7.610899576929775,1.0283799550083292,31847.63175764525
44100,lagrange3,19845.0,True,12.58106212521624,1.456148405869848,49898.727660212564
44100,lagrange7,1000.0,True,2.1424204858231377e-08,1.0576042663875149e-09,0.001503569348494378
44100,lagrange7,2000.0,True,4.062398662300541e-06,4.887555805004264e-07,0.3392901611368285
44100,lagrange7,4000.0,True,0.0001431595512074228,0.00016105075703749268,49.66320338604983
44100,lagrange7,4410.0,True,0.0007234937976348052,0.0003376614818259452,90.39717181048096
44100,lagrange7,8000.0,True,0.27433381354378916,0.005959322891934809,2687.8749080756984
44100,lagrange7,8820.0,True,0.518571092707729,0.030024044052809173,7603.671595366466
44100,lagrange7,12000.0,True,1.5442326011337915,0.45287755512800604,29875.000578018895
44100,lagrange7,13230.0,True,4.515962006684396,0.5491028296838428,21178.40605392158
44100,lagrange7,16000.0,True,10.77532708423352,0.41532771246772365,46709.77894055324
44100,lagrange7,17640.0,True,13.258548231999768,0.8296218598027301,57949.24923704373
44100,lagrange7,18000.0,True,13.685960306922375,0.963291145874559,60330.483434136724
44100,lagrange7,19845.0,True,15.264471250356584,1.7366482359572692,78065.3237693862
44100,lagrange15,1000.0,True,5.969187017965052e-13,8.497723020280183e-14,1.0679391398982219e-08
44100,lagrange15,2000.0,True,3.679487881388516e-11,1.0816791695868597e-11,1.2996832038055569e-05
44100,lagrange15,4000.0,True,4.190982579098223e-06,4.413958649462981e-07,0.34653107731985655
44100,lagrange15,4410.0,True,1.1317189520950827e-05,2.6878779044528454e-06,1.6919041899604614
44100,lagrange15,8000.0,True,0.04924860425389376,0.02248749421300415,6833.474762336301
44100,lagrange15,8820.0,True,0.5178712848736212,0.07483930168930315,13051.134598577162
44100,lagrange15,12000.0,True,15.119901354636397,1.1584373639753671,114765.30447539524
44100,lagrange15,13230.0,True,24.446467556132554,0.9921833619551437,159365.5047982217
44100,lagrange15,16000.0,True,40.29203430395693,3.1408638099059933,177127.88270013686
44100,lagrange15,17640.0,True,46.899010626024804,3.1356546805611245,250584.05389355004
44100,lagrange15,18000.0,True,48.05738665053511,3.1341780832885915,250487.89344602692
44100,lagrange15,19845.0,True,52.38633029406795,1.6220531171761792,155381.16522611884
44100,farrow7-fir32,1000.0,True,0.3995487710825828,0.026668371648330694,6578.092196156451
44100,farrow7-fir32,2000.0,True,0.23708257242104971,0.020869136921268072,6649.924591014431
44100,farrow7-fir32,4000.0,True,0.3055142769474546,0.03551470466563725,3612.2667265477753
44100,farrow7-fir32,4410.0,True,0.2568765081171442,0.025668961630709804,1831.9654266637497
44100,farrow7-fir32,8000.0,True,0.11344560123769214,0.054355118611710856,2193.724076390608
44100,farrow7-fir32,8820.0,True,0.141914103999866,0.03742611045534828,2809.3918421510994
44100,farrow7-fir32,12000.0,True,0.48960049480094975,0.042429568859367654,6635.636342523495
44100,farrow7-fir32,13230.0,True,0.5829516383219288,0.026946070647844586,7198.6491293608
44100,farrow7-fir32,16000.0,True,0.6770663310326721,0.05929313883648815,9749.403057366042
44100,farrow7-fir32,17640.0,True,0.3312876523913593,0.05372214793013348,16176.697118568043
44100,farrow7-fir32,18000.0,True,0.4064247120979847,0.06886643354498637,23028.071693347087
44100,farrow7-fir32,19845.0,True,2.0126498288931325,0.3640193560392827,401677.5976125671
44100,vfd-ls32,1000.0,True,0.3995483982813096,0.026668258234515966,6578.074015495133
44100,vfd-ls32,2000.0,True,0.23708268853921657,0.020869104112885777,6649.915778764148
44100,vfd-ls32,4000.0,True,0.3055132827394577,0.035514565309128325,3612.255394358172
44100,vfd-ls32,4410.0,True,0.2568750758736886,0.02566886048210178,1831.9583337499519
44100,vfd-ls32,8000.0,True,0.11345051061645994,0.05435494576649002,2193.7218410611226
44100,vfd-ls32,8820.0,True,0.14191649135843815,0.03742614232768712,2809.371649248814
44100,vfd-ls32,12000.0,True,0.4896094212279892,0.04242955023855901,6635.617061512496
44100,vfd-ls32,13230.0,True,0.5829601188172411,0.02694583128745228,7198.631556779796
44100,vfd-ls32,16000.0,True,0.6770844686317494,0.05929299706927159,9749.38989339515
44100,vfd-ls32,17640.0,True,0.33130596290266356,0.053722009237711255,16176.687836801086
44100,vfd-ls32,18000.0,True,0.4064032525771622,0.06886598130444636,23028.05988382003
44100,vfd-ls32,19845.0,True,2.01270047998551,0.3640191468239868,401676.294707037
44100,vfd-ls64,1000.0,True,0.12297045119290018,0.007364704490318425,4629.0335480725425
44100,vfd-ls64,2000.0,True,0.16398047179347927,0.009915951953875585,3334.5770421504776
44100,vfd-ls64,4000.0,True,0.10866533447444923,0.01769291448338171,963.0375433440955
44100,vfd-ls64,4410.0,True,0.07123368062036761,0.014214816438576073,3494.3774228775824
44100,vfd-ls64,8000.0,True,0.09307250462424768,0.02067873456680097,4222.482770340856
44100,vfd-ls64,8820.0,True,0.1066818936963673,0.02170037851042533,1017.8872084654524
44100,vfd-ls64,12000.0,True,0.21655679175063083,0.007471313405290797,2864.655833262802
44100,vfd-ls64,13230.0,True,0.1782315309504556,0.013041971809711558,6707.210760254674
44100,vfd-ls64,16000.0,True,0.11353175237395599,0.033390208903253046,5352.168242031167
44100,vfd-ls64,17640.0,True,0.19855250310021227,0.010825440606447394,13701.672841054871
44100,vfd-ls64,18000.0,True,0.27655239250928826,0.01948617020849535,8053.9888897224155
44100,vfd-ls64,19845.0,True,1.2380417910505017,0.11705432666938394,422725.35267546226
44100,sinc129-noncausal-control,1000.0,True,1.2792200556920205e-05,5.156454830070201e-08,0.022875478282311436
44100,sinc129-noncausal-control,2000.0,True,8.856845219357101e-07,9.084383092649329e-08,0.08908595917705119
44100,sinc129-noncausal-control,4000.0,True,3.7351085980224465e-06,8.60179934558688e-08,0.317322359845608
44100,sinc129-noncausal-control,4410.0,True,1.3264631978055168e-05,2.1724280064272603e-07,0.22401428347533894
44100,sinc129-noncausal-control,8000.0,True,1.7164590300785317e-05,5.005941603402313e-07,0.6152699034663641
44100,sinc129-noncausal-control,8820.0,True,1.0432022786856211e-06,2.7443367080009586e-07,1.1294655127212478
44100,sinc129-noncausal-control,12000.0,True,3.815949424641666e-05,1.7371259744575905e-06,1.4644138549462284
44100,sinc129-noncausal-control,13230.0,True,8.016670988709081e-06,8.075627894012404e-07,4.094281563671201
