rate,conditioner,kernel,stage,passed,worst_error,kernel_max_gain_db,ultrasonic_core_error,ultrasonic_reference_convergence,tier_c_probe_pass
44100,fir33-fc20000,kaiser-g32,actual and Tier C,True,0.003250511068500235,0.0017087617048709485,2.608190735026594e-10,4.038605035917635e-06,True
44100,fir65-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc18000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc18000,kaiser-g16,actual and Tier C,True,0.00010115830664686485,0.0018762540533029497,1.2375050782506745e-09,3.1427966396891224e-05,True
44100,fir65-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,kaiser-g8,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,kaiser-g16,actual and Tier C,False,0.009947542076672979,0.0018762540533029497,1.2498794667035438e-09,3.8062270074409606e-06,True
44100,fir65-fc20000,lagrange-g32,frozen Tier A kernel rejection,False,,,,,False
44100,fir65-fc20000,hann-g32,actual and Tier C,False,0.0005049192239811994,0.10959161993795494,5.27473748272138e-11,3.8062270074409606e-06,False
44100,fir65-fc20000,kaiser-g32,actual and Tier C,True,0.0001413880477294721,0.0017087617048709485,2.6059418943062566e-10,3.8062270074409606e-06,True
48000,raw-control,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,raw-control,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,raw-control,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,raw-control,kaiser-g8,actual and Tier C,False,0.10830183403788561,0.0017706347545045026,1.4094516674665376e-09,5.875706535327571e-06,True
48000,raw-control,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,raw-control,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,raw-control,kaiser-g16,actual and Tier C,False,0.067038821744438,0.0018760698606006202,4.4365756046039325e-10,5.875706535327571e-06,True
48000,raw-control,lagrange-g32,actual and Tier C,False,0.08307813971990673,1.735789439795915e-14,2.0436394283696495e-07,5.875706535327571e-06,True
48000,raw-control,hann-g32,actual and Tier C,False,0.042825745657913535,0.10957902061567623,1.7079500106904722e-11,5.875706535327571e-06,False
48000,raw-control,kaiser-g32,actual and Tier C,False,0.046379663094056736,0.001708582859253701,2.8168957787244795e-11,5.875706535327571e-06,True
48000,raw-control,lagrange-g64,actual and Tier C,False,0.06715785888966866,3.664444372902484e-14,1.084955701448074e-07,5.875706535327571e-06,True
48000,raw-control,hann-g64,actual and Tier C,False,0.029499388376900044,0.10962399073981262,5.3049238125822444e-12,5.875706535327571e-06,False
48000,raw-control,kaiser-g64,actual and Tier C,False,0.03197068776029661,0.0016077453011944637,6.169925349533337e-12,5.875706535327571e-06,True
48000,butter4-fc18000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc18000,lagrange-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc18000,hann-g8,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc18000,kaiser-g8,actual and Tier C,False,0.014286116208450878,0.0017706347545045026,1.5513484795153738e-09,2.085860627122896e-06,True
48000,butter4-fc18000,lagrange-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc18000,hann-g16,frozen Tier A kernel rejection,False,,,,,False
48000,butter4-fc18000,kaiser-g16,actual and Tier C,True,0.0002612237184019712,0.0018760698606006202,4.695217709606348e-10,2.085860627122896e-06,True
48000,butter4-fc20000,lagrange-g0,frozen Tier A kernel rejection,False,,,,,False
