rate,reference_rate,kernel,frequency_hz,common_time_error_rms,pair_budget_pass
44100,96000,hann-g64,1000.0,3.978707950527514e-07,True
44100,96000,hann-g64,2000.0,5.411506460238072e-07,True
44100,96000,hann-g64,4000.0,4.7497495527480025e-07,True
44100,96000,hann-g64,8000.0,5.445208711940688e-07,True
44100,96000,hann-g64,12000.0,1.6111141105150664e-06,True
44100,96000,hann-g64,16000.0,1.3692535909498341e-06,True
44100,96000,hann-g64,18000.0,2.1123606769980222e-05,True
44100,96000,hann-g64,20000.0,0.00019270931337803785,True
44100,96000,kaiser-g64,1000.0,5.136018799893386e-06,True
44100,96000,kaiser-g64,2000.0,8.967249783110048e-06,True
44100,96000,kaiser-g64,4000.0,7.094996386106024e-06,True
44100,96000,kaiser-g64,8000.0,5.211617518957344e-06,True
44100,96000,kaiser-g64,12000.0,1.3104317526722231e-05,True
44100,96000,kaiser-g64,16000.0,6.294774978158129e-06,True
44100,96000,kaiser-g64,18000.0,7.5755138616781675e-06,True
44100,96000,kaiser-g64,20000.0,1.4151644381224634e-05,True
48000,96000,lagrange-g0,1000.0,3.9719259534313385e-06,True
48000,96000,lagrange-g0,2000.0,6.32678253814324e-05,True
48000,96000,lagrange-g0,4000.0,0.0009902303552241968,True
48000,96000,lagrange-g0,8000.0,0.01463709540232653,False
48000,96000,lagrange-g0,12000.0,0.07803608385577296,False
48000,96000,lagrange-g0,16000.0,0.1717129369250117,False
48000,96000,lagrange-g0,18000.0,0.07429417793203646,False
48000,96000,lagrange-g0,20000.0,0.3299999818614072,False
48000,96000,lagrange-g8,1000.0,6.051381484673601e-14,True
48000,96000,lagrange-g8,2000.0,1.2610432712219778e-13,True
48000,96000,lagrange-g8,4000.0,9.704463182641703e-12,True
48000,96000,lagrange-g8,8000.0,7.765860075448982e-07,True
48000,96000,lagrange-g8,12000.0,0.0003239000629661276,True
48000,96000,lagrange-g8,16000.0,0.013729830334430463,True
48000,96000,lagrange-g8,18000.0,0.061145515574654835,False
48000,96000,lagrange-g8,20000.0,0.13317467461294497,False
48000,96000,hann-g8,1000.0,5.5190661279944464e-05,True
48000,96000,hann-g8,2000.0,0.000158796125551515,True
48000,96000,hann-g8,4000.0,0.000177904587550825,True
48000,96000,hann-g8,8000.0,0.00021880865326401186,True
48000,96000,hann-g8,12000.0,0.0003140220025820205,True
48000,96000,hann-g8,16000.0,0.00040825152483928146,True
48000,96000,hann-g8,18000.0,0.006025417840797755,True
48000,96000,hann-g8,20000.0,0.02653243452852589,False
48000,96000,kaiser-g8,1000.0,2.551609481742134e-05,True
48000,96000,kaiser-g8,2000.0,2.986141686574666e-05,True
48000,96000,kaiser-g8,4000.0,4.034914573951581e-05,True
48000,96000,kaiser-g8,8000.0,4.030592683091378e-05,True
48000,96000,kaiser-g8,12000.0,2.816950266135081e-05,True
48000,96000,kaiser-g8,16000.0,6.57456514173799e-05,True
48000,96000,kaiser-g8,18000.0,0.0070443729119129455,True
48000,96000,kaiser-g8,20000.0,0.05963705100874719,False
48000,96000,lagrange-g16,1000.0,6.19709143400243e-14,True
48000,96000,lagrange-g16,2000.0,1.289433459120773e-13,True
48000,96000,lagrange-g16,4000.0,2.4926906450673307e-13,True
48000,96000,lagrange-g16,8000.0,8.488503145598876e-12,True
48000,96000,lagrange-g16,12000.0,9.132853532130647e-07,True
48000,96000,lagrange-g16,16000.0,0.0010309278255760362,True
48000,96000,lagrange-g16,18000.0,0.013188273077747366,True
48000,96000,lagrange-g16,20000.0,0.06167745784589824,False
48000,96000,hann-g16,1000.0,1.9074820194389186e-05,True
48000,96000,hann-g16,2000.0,2.1424736704070957e-05,True
48000,96000,hann-g16,4000.0,2.1643800351580528e-05,True
48000,96000,hann-g16,8000.0,2.4544184816488662e-05,True
48000,96000,hann-g16,12000.0,3.952052910044594e-05,True
48000,96000,hann-g16,16000.0,0.00018663937630542505,True
48000,96000,hann-g16,18000.0,0.0006942514113837235,True
48000,96000,hann-g16,20000.0,0.00043214550228224324,True
48000,96000,kaiser-g16,1000.0,1.9081127260818117e-05,True
48000,96000,kaiser-g16,2000.0,1.6121685863282828e-05,True
48000,96000,kaiser-g16,4000.0,1.613856966255534e-05,True
48000,96000,kaiser-g16,8000.0,2.3140408642641266e-05,True
48000,96000,kaiser-g16,12000.0,5.255563207279044e-06,True
48000,96000,kaiser-g16,16000.0,2.4283691852737217e-05,True
48000,96000,kaiser-g16,18000.0,6.410731113811888e-05,True
48000,96000,kaiser-g16,20000.0,5.3246906054350076e-05,True
